,Answer,Type,Difficulty,Size,Questions,Flags
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 11. HARD
 (A) The management is finding reliable staff hard to come by. 
 (B) She quit the office because her boss gave her hard time at work. 
 (C) She is very young, don't be too hard on her. 
 (D) The movie is based on hard facts.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 12. HEART
 (A) The leader asked the team to put their heart and soul into the project. 
 (B) Though she is a tough task-master, she is kind at heart. 
 (C) My heart goes off for all those children who died in the fire accident. 
 (D) I watched him go with a sinking heart.",C,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 13. SHED
 (A) As the company is operating at a loss, it decided to shed a number of jobs. 
 (B) Much blood was shed by the soldiers before the war came to an end. 
 (C) The night was pleasant as the moon shed a silvery light on the scene. 
 (D) The tennis ground is covered by the leaves shed off by the trees.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 14. STAGE
 (A) Childhood is the happiest stage of one's life. 
 (B) Shakespeare has written many plays for English stage. 
 (C) America plays a crucial role on the international stage. 
 (D) The students' association staged a protest march.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 15. DISCHARGE
 (A) The department has failed to discharge its duties properly. 
 (B) He is not left with a single pie after he discharged off all his debts. 
 (C) The gases discharged from the factory caused respiratory problems. 
 (D) The rebel accidentally discharged a pistol.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 16. EXPAND
 (A) Wide reading helps you expand your vocabulary. 
 (B) The student raised a doubt and the lecturer expanded on it. 
 (C) They have expanded over the business by opening to more branches. 
 (D) The interviewer asked me to expand on the economic situation of India.",C,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 17. DRIP
 (A) Don't drip the paint everywhere on the floor. 
 (B) Most of his writings dripped with sarcasm. 
 (C) As soon as he was taken to hospital he was put on drip. 
 (D) Water was dripping from her wet hair.",C,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 18. GEAR
 (A) The course is geared towards training the students as Managers. 
 (B) The colleges in the city are gearing for the inter- college athletic meet. 
 (C) He prefers to keep quiet when his temper slips out of gear. 
 (D) We have efficient people geared up to help with your problem.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 19. FIGURE
 (A) She doesn't seem to have a head for figures. 
 (B) The central figure of the movie is the director's son. 
 (C) I don't think the welfare of employees figures high on her list of priorities. 
 (D) He figured on that he would require another hour to finish the work.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 20. FILL
 (A) All the members of the team were filled with happiness when they received the World Cup. 
 (B) I don't think the class room is filled in to capacity. 
 (C) Do you think that you can fill the role of a manager? 
 (D) She filled up the rest of her day listening to music.",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 21. FOCUS
 (A) The committee focussed on the atrocities committed on the women prisoners. 
 (B) A change in focus will probably help us to succeed. 
 (C) Your face is out of focus in the photograph. 
 (D) What was the focus of attention at the meeting yesterday?",B,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 22. INSPIRATION
 (A) Wordsworth drew his inspiration from the countryside. 
 (B) Jane was the inspiration for Joseph's victory. 
 (C) Her dedication to work is inspiration to all of us. 
 (D) As the leader, she inspired great commitment in the members of the team.",C,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 23. KEEP
 (A) She kept the children engaged for two hours. 
 (B) My mother kept working at it all through the day. 
 (C) The little boy is incapable of keeping out of mischief. 
 (D) She managed to keep herself to laugh at him.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 24. MIND
 (A) You should mind your manners. 
 (B) The movie brings to mind some of Leacock's humorous stories. 
 (C) This problem has been on his mind all through the night. 
 (D) You can become a good player if you set your mind in it.",D,Vocab,,,,
"Directions:  the word at the top is used in four different ways, lettered (A) to (D). Select the option in which the usage of the word is **INCORRECT** or **INAPPROPRIATE**. 
 
 25. NARROW
 (A) She got tired of the narrow confines of her domestic life. 
 (B) She had a narrow escape when her car skid on the wet roads. 
 (C) Try to narrow down your options to two. 
 (D) The library has only narrow range of books.",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 1. The twentieth century must surely be remembered as a time of __________ growth in the economics of the industrialized nations despite the two most __________ wars ever fought in the whole of history.
 (A) unprecedented... destructive
 (B) staggered disastrous
 (C) negative inhuman
 (D) continued antagonistic",A,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 2. Even before the much-heralded peace process between India and Pakistan takes the first few steps, there is a growing __________ in both the capitals about the commitment of the other for a/an __________ dialogue.
 (A) scepticism... regular
 (B) fear intending
 (C) disenchantment... improving
 (D) wariness... sustained",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 3. In contrast to the India-Pakistan matches in the past, the current series exuded __________ but there is, of course, the __________ of the game and passions are no doubt aroused.
 (A) confidence niceties
 (B) bonhomie... tension
 (C) gamesmanship.. nuances
 (D) hatred gentility",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 4. Occasional, short-lived stress usually is not a problem but when stress becomes __________ the immune system can begin to become __________ in a major way.
 (A) excretive ineffective
 (B) unwieldy... injurious
 (C) chronic impaired
 (D) beneficial... redundant",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 5. The democratic experiment in India did not collapse prematurely as happened in most other former colonies because of a unique process of __________ the opposed traditions quickly carved out a __________ playing field where neither could prevail fully, but both could survive.
 (A) assimilation. satisfactory
 (B) adjustment... complementary
 (C) annihilation... level
 (D) moderation... fertile",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 6. The U.S chamber which is prepared to organize public debates to __________ the myths about outsourcing, says that to create jobs it is __________ that America remains open to the world economy where 95 percent of its potential customers live.
 (A) shatter... immaterial
 (B) demolish... critical
 (C) develop crucial
 (D) dismantle incumbent",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 7. It is unwise to let our yearning for universal __________ overcome our capability for progress because in the majority of cases this concentration on the opinions of others makes us lose the __________ on our own cases aspirations and work output.
 (A) acclaim... initiative
 (B) disenchantment... insistence
 (C) approbation focus
 (D) animosity... sight",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 8. The Bhopal Gas Tragedy is the result of __________ negligence on the part of a company that should have __________ to the standards it claimed it followed elsewhere in the world.
 (A) utter... adopted
 (B) wilful... suited
 (C) abrupt conformed
 (D) deliberate... adhered",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 9. The fax machine and the personal computer made virtual working __________ but it was not until the use of the internet and the email became widespread that the idea really __________
 (A) possible worked on
 (B) impossible act in
 (C) feasible... took off
 (D) easy worked out",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 10. He combined many contradictory skills like broad sweeps of the long range with attention to __________ to all and yet not letting anyone intrude on his time.
 (A) details... accessibility
 (B) restrictions... generosity
 (C) narrowness... proximity
 (D) rules... openness",A,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 11. The best place to __________ the sprit of a people is in their art, especially literature, for creative artists are __________ to the implications of the culture on life.
 (A) strengthen averse
 (B) discover... privy
 (C) dampen... alert
 (D) explore sensitive",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 12. Revolution occurs in a society when a __________ develops between the culture and social structure, leaving the institutions __________ and unsupported in the consciousness of the people.
 (A) chasm... open
 (B) crack unaided
 (C) gap... exposed
 (D) gulf... restricted",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 13. Although the impact of the modern mind on philosophy has generated a/an __________ and often perverting self-understanding and impaired its standing within the intellectual community, it is nevertheless, concerned with the __________ problems of the human mind.
 (A) exhibiting... deepest
 (B) demeaning... profound
 (C) well-meaning... trickier
 (D) pervading easier",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 14. For all that the term signifies, the people seem rather __________ with modern democracy and they hold politicians in varying degrees of __________
 (A) disenchanted... respect
 (B) happy... dislike
 (C) displeased contempt
 (D) disinterested... adoration",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 15. If there is political instability in today's globalised world with mobile private capital flows, the strong inflows we have seen in the past few months could easily reverse, the rupee could fall and the resulting __________ could spell economic __________
 (A) chaos... boom
 (B) devaluation... bust
 (C) trends prosperity
 (D) mayhem... doom",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 16. Altogether, a good portion of the factory workers and others caught up in the downsizing adjustments to a new, fiercely __________ economy have grown contemptuous and suspicious of their __________ leaders and their government, regarding them as __________ or even destructive.
 (A) competitive irrelevant
 (B) buoyant... incompetent
 (C) sagging Ineffective
 (D) monopolistic... condemnable",A,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 17. Any artificial restriction on exposure to experience and thoughts that might __________ those accepted as true is as dangerous to the intellectual life as permanently __________ parts of the body would be to one's biological life.
 (A) refuse... disabling
 (B) contradict... anesthetizing
 (C) hamper enabling
 (D) oppose maiming",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 18. The revolutionaries of recent years cry out for __________ and individualism as did our forefathers, but the concept of liberty has undergone a radical __________ along with the concept of morality.
 (A) honesty... change
 (B) egoism. improvement
 (C) freedom... transformation
 (D) materialism. amendment",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 19. In our present cultural crisis, with our materialistic values being called into question, there are signs of a new interest in __________ in those arts and disciplines which draw especially upon our experience of __________ and meaning and the language representing reality.
 (A) science... morals.
 (B) humanities value
 (C) philosophy life
 (D) morality... God",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 20. Research suggests that the connection between job satisfaction and performance is __________ as performance does not __________ in response to increased job satisfaction.
 (A) direct... increase
 (B) fragile... decrease
 (C) weak diminish
 (D) tenuous.. rise",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 21. However, moving further away from training inputs to measure the effects of __________ makes it more training as these effects become __________ by an increasing number of external influences.
 (A) difficult... modified
 (B) cumbersome... perplexing
 (C) direct... belittled
 (D) interesting... reduced",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 22. Although a hidden stockpile of mobile missiles might escape __________ it soon would lose its military utility without the regular test, maintenance and exercise activities which would, if carried out, greatly increase the risk of __________
 (A) identification... employment
 (B) attention... detection
 (C) distinction... annihilation
 (D) detection. exposure",D,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 23. Recognition of the physical manifestations of the environmental crisis, as well as consciousness of its various social inflictions, are now so __________ that the call for an environmentally responsible socio- economic system will __________ fade away.
 (A) neglected... definitely
 (B) painful... easily
 (C) widespread scarcely
 (D) obvious slowly",C,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 24. A partnership ethic offers new approaches to relationship between business and environment that can __________ the egocentric ethic's emphasis on the __________ of nature and the get-ahead individualistic mentality.
 (A) offer... importance
 (B) transcend... domination
 (C) lessen... weakness
 (D) withstand vagaries",B,Vocab,,,,
"Directions: Each question has a sentence with two blanks followed by four pairs of words as choices. From the choices, select the pair of words that can best complete the given sentence.
 
 25. When European doctors in the seventeenth century, attempted to __________ their patient's blood with blood taken from other people the results were often __________ resulting in severe fever and even death.
 (A) transfuses... spectacular
 (B) mix... malignant
 (C) replace negative
 (D) infuse disastrous",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 1. Punctilious: The management was saved of the embarrassment due to his punctilious filing of all the earlier correspondence.
 (A) diligent
 (B) precise
 (C) thorough
 (D) slapdash",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 2. Opprobrious: The student's opprobrious remarks against the principal, necessitated his expulsion from the college.
 (A) vituperative
 (B) denigrating
 (C) sanguine
 (D) pejorative",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 3. Intemperate: His intemperate intake of liquor numbed his senses.
 (A) perspicuous
 (B) uncurbed
 (C) unrestrained
 (D) unbridled",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 4. Fervent: Our fervent prayers will be answered when India wins the World Cup in cricket.
 (A) ardent
 (B) convivial
 (C) passionate
 (D) emotional",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 5. Garbled: The garbled communication was responsible for the arrest of the innocent.
 (A) distorted
 (B) muddled
 (C) misconstrued
 (D) delayed",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 6. Baleful: Her baleful stare terrified him.
 (A) malevolent
 (B) antagonistic
 (C) sad
 (D) malicious",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 7. Abnegation: To ostracize these tribes would be a serious abnegation of their responsibility towards democracy.
 (A) renunciation
 (B) repudiation
 (C) abuse
 (D) abjuration",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 8. Truculent: The truculent stand adopted by both the countries will not further world peace.
 (A) obstinate
 (B) belligerent
 (C) pugnacious
 (D) antagonistic",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 9. Factitious: Her factitious act of repentance has fooled her family into forgiving her.
 (A) specious
 (B) tumultuous
 (C) feigned
 (D) contrived",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 10. Wizened: His wizened face deceived his age.
 (A) creased
 (B) withered
 (C) lined
 (D) enlightened",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 11. Subliminal: The viewer's senses nowadays are being hit with subliminal advertising.
 (A) subtle
 (B) hidden
 (C) consummate
 (D) concealed",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 12. Indispensable: There is a portion of reading quite indispensable to a wise man.
 (A) vital
 (B) mandatory
 (C) pre-eminent
 (D) necessary",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 13. Foibles: These foibles, real or apparent, fast vanished in the incessant growth of a spirit so robust and wise.
 (A) flaws
 (B) mistakes
 (C) shortcomings
 (D) infirmities",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 14. Connote: Ordinarily, the word technique connotes a scientific surefootedness.
 (A) implies
 (B) signifies
 (C) supports
 (D) suggests",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 15. Circumspect: One needs to be very circumspect when dealing with organizations of ill-repute.
 (A) strong
 (B) wary
 (C) discreet
 (D) chary",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 16. Protracted: It is going to be a protracted battle against the drug trafficking.
 (A) prolonged
 (B) interminable
 (C) strenuous
 (D) extended",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 17. Canker: Caste discrimination remains a canker in our society.
 (A) scourge
 (B) mystery
 (C) pestilence
 (D) blight",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 18. Turpitude: Incidents like the Godhra massacre reflect our society's moral turpitude.
 (A) wickedness
 (B) depravity
 (C) vileness
 (D) deadlock",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 19. Vindictive: Harbouring vindictive thoughts about somebody can obstruct a person's spiritual growth.
 (A) vengeful
 (B) rambling
 (C) rancorous
 (D) malevolent",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 20. Raddled: All the hardships he faced in life caused him to look raddled.
 (A) raffish
 (B) pinched
 (C) gaunt
 (D) exhausted",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 21. Portents: This trend may have serious portents for the freedom of religion.
 (A) implication
 (B) presage
 (C) prophecy
 (D) prognostication",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 22. Libel: The supermodel sued the magazine for libel.
 (A) aspersions
 (B) defamation
 (C) oblation
 (D) vilification",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 23. Taciturn: People mistook her taciturn nature for arrogance.
 (A) reserved
 (B) vileness
 (C) introverted
 (D) aloof",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 24. Abeyance: The project was kept in abeyance due to lack of funds.
 (A) a state of suspension
 (B) reserve
 (C) deference
 (D) detestation",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 25. Fillip: The interest rate is being cut with a hope that it will give a fillip to the economy.
 (A) stimulus
 (B) cushioning
 (C) impetus
 (D) spur",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 26. Jejune: His predictable approach reflects his jejune opinions.
 (A) callow
 (B) immature
 (C) tremulous
 (D) infantile",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 27. Obdurate: The obdurate stand adopted by the U. S President towards Iraq may result in global destruction.
 (A) intransigent
 (B) unmalleable
 (C) intractable
 (D) prejudiced",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 28. Quail: The demonstrators in front of the UN building quailed at the size of the police force brought out against them.
 (A) protested
 (B) cowered
 (C) cringed
 (D) faltered",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 29. Ravenous: The ravenous group attacked the spread laid out on the dining table.
 (A) unruly
 (B) famished
 (C) starving
 (D) very hungry",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 30. Investiture: The investiture ceremony was well- attended.
 (A) installation
 (B) inception
 (C) ordination
 (D) coronation",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 31. Invidious: To juxtapose the growth rates achieved by a country like US and another like South Africa is to make an invidious comparison.
 (A) unfair
 (B) unassailable
 (C) iniquitous
 (D) weighted",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 32. Contentious: The opposition party questioned the rationale of discussing the contentious issue every session.
 (A) debatable
 (B) contested
 (C) impertinent
 (D) problematic",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 33. Unimpeachable: You need to verify the accuracy of the piece of information since it has not come from an unimpeachable source.
 (A) impeccable
 (B) irreproachable
 (C) ingenuous
 (D) trustworthy",C,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 34. Cloistered: The actress leads a cloistered life.
 (A) sequestered
 (B) gregarious
 (C) reclusive
 (D) secluded",B,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 35. Imperative: In spite of the positive aspects in the current economic situation, there is an imperative need to address these three key issues.
 (A) desperate
 (B) mandatory
 (C) exigent
 (D) indispensable",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 36. Eschew: To garner worldwide support, the Non- Alignment Movement leaders should display their inclination to eschew the controversial standards it accuses the west of adopting.
 (A) renounce
 (B) relinquish
 (C) disavow
 (D) augment",D,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 37. Moribund: The purpose of the meeting is to revitalize the moribund organization.
 (A) teetering
 (B) stagnating
 (C) waning
 (D) obsolescent",A,Vocab,,,,
"Directions: For each of the words given below, a contextual usage is provided. From the alternatives given, pick the word that is most **inappropriate** in the given context.
 
 38. Laconic: His laconic answer failed to reveal his emotions.
 (A) terse
 (B) dull
 (C) concise
 (D) succinct",B,Vocab,,,,
