Passage,,,,,,Flags,,,Type
"Lines (5) - (45)
Manufacturers have to do more than build large manufacturing plants to realize economies of scale. It is true that as the capacity of a manufacturing operation rises, costs per unit of output fall as plant size approaches ""minimum efficient scale,"" where the cost per unit of output reaches a minimum, determined roughly by the state of existing technology and size of the potential market. However, minimum efficient scale cannot be fully realized unless a steady ""throughput"" (the flow of materials through a plant) is attained. The throughput needed to maintain the optimal scale of production requires careful coordination not only of the flow of goods through the production process, but also of the flow of input from suppliers and the flow of output to wholesalers and final consumers. If throughput falls below a critical point, unit costs rise sharply and profits disappear. A manufacturer's fixed costs and ""sunk costs"" (original capital investment in the physical plant) do not decrease when production declines due to inadequate supplies of raw materials, problems on the factory floor, or inefficient sales networks. Consequently, potential economies of scale are based on the physical and engineering characteristics of the production facilities—that is, on tangible capital—but realized economies of scale are operational and organizational, and depend on knowledge, skills, experience, and teamwork—that is, on organized human capabilities, or intangible capital.

The importance of investing in intangible capital becomes obvious when one looks at what happens in new capital-intensive manufacturing industries. Such industries are quickly dominated, not by the first firms to acquire technologically sophisticated plants of theoretically optimal size, but rather by the first to exploit the full potential of such plants. Once some firms achieve this, a market becomes extremely hard to enter. Challengers must construct comparable plants and do so after the first movers have already worked out problems with suppliers or with new production processes. Challengers must create distribution networks and marketing systems in markets where first movers have all the contacts and know-how. And challengers must recruit management teams to compete with those that have already mastered these functional and strategic activities.",RC,,,,"527. The passage suggests that in order for a manufacturer in a capital-intensive industry to have a decisive advantage over competitors making similar products, the manufacturer must
A. be the first in the industry to build production facilities of theoretically optimal size
B. make every effort to keep fixed and sunk costs as low as possible
C. be one of the first to operate its manufacturing plants at minimum efficient scale
D. produce goods of higher quality than those produced by direct competitors
E. stockpile raw materials at production sites in order to ensure a steady flow of such materials
***
528. The passage suggests that which of the following is true of a manufacturer's fixed and sunk costs?
A. The extent to which they are determined by market conditions for the goods being manufactured is frequently underestimated.
B. If they are kept as low as possible, the manufacturer is very likely to realize significant profits.
C. They are the primary factor that determines whether a manufacturer will realize economies of scale.
D. They should be on a par with the fixed and sunk costs of the manufacturer's competitors.
E. They are not affected by fluctuations in a manufacturing plant's throughput.
***
529. In the context of the passage as a whole, the second paragraph serves primarily to
A. provide an example to support the argument presented in the first paragraph
B. evaluate various strategies discussed in the first paragraph
C. introduce evidence that undermines the argument presented in the first paragraph
D. anticipate possible objections to the argument presented in the first paragraph
E. demonstrate the potential dangers of a commonly used strategy
***
530. The passage LEAST supports the inference that a manufacturer's throughput could be adversely affected by
A. a mistake in judgment regarding the selection of a wholesaler
B. a breakdown in the factory's machinery
C. a labor dispute on the factory floor
D. an increase in the cost per unit of output
E. a drop in the efficiency of the sales network
***
531. The primary purpose of the passage is to
A. point out the importance of intangible capital for realizing economies of scale in manufacturing
B. show that manufacturers frequently gain a competitive advantage from investment in large manufacturing facilities
C. argue that large manufacturing facilities often fail because of inadequate investment in both tangible and intangible capital
D. suggest that most new industries are likely to be dominated by firms that build large manufacturing plants early
E. explain why large manufacturing plants usually do not help manufacturers achieve economies of scale",5,,,RC
"Lines (5) - (50)
A small number of the forest species of lepidoptera (moths and butterflies, which exist as caterpillars during most of their life cycle) exhibit regularly recurring patterns of population growth and decline—such fluctuations in population are known as population cycles. Although many different variables influence population levels, a regular pattern such as a population cycle seems to imply a dominant, driving force. Identification of that driving force, however, has proved surprisingly elusive despite considerable research. The common approach of studying causes of population cycles by measuring the mortality caused by different agents, such as predatory birds or parasites, has been unproductive in the case of lepidoptera. Moreover, population ecologists' attempts to alter cycles by changing the caterpillars' habitat and by reducing caterpillar populations have not succeeded. In short, the evidence implies that these insect populations, if not self-regulating, may at least be regulated by an agent more intimately connected with the insect than are predatory birds or parasites.

Recent work suggests that this agent may be a virus. For many years, viral disease had been reported in declining populations of caterpillars, but population ecologists had usually considered viral disease to have contributed to the decline once it was underway rather than to have initiated it. The recent work has been made possible by new techniques of molecular biology that allow viral DNA to be detected at low concentrations in the environment. Nuclear polyhedrosis viruses are hypothesized to be the driving force behind population cycles in lepidoptera in part because the viruses themselves follow an infectious cycle in which, if protected from direct sunlight, they may remain virulent for many years in the environment, embedded in durable crystals of polyhedrin protein. Once ingested by a caterpillar, the crystals dissolve, releasing the virus to infect the insect's cells. Late in the course of the infection, millions of new virus particles are formed and enclosed in polyhedrin crystals. These crystals reenter the environment after the insect dies and decomposes, thus becoming available to infect other caterpillars.

One of the attractions of this hypothesis is its broad applicability. Remarkably, despite significant differences in habitat and behavior, many species of lepidoptera have population cycles of similar length, between eight and eleven years. Nuclear polyhedrosis viral infection is one factor these disparate species share.",RC,,,,"532. The primary purpose of the passage is to
A. describe the development of new techniques that may help to determine the driving force behind population cycles in lepidoptera
B. present evidence that refutes a particular theory about the driving force behind population cycles in lepidoptera
C. present a hypothesis about the driving force behind population cycles in lepidoptera
D. describe the fluctuating patterns of population cycles in lepidoptera
E. question the idea that a single driving force is behind population cycles in lepidoptera
***
533. It can be inferred from the passage that the mortality caused by agents such as predatory birds or parasites was measured in an attempt to
A. develop an explanation for the existence of lepidoptera population cycles
B. identify behavioral factors in lepidoptera that affect survival rates
C. identify possible methods for controlling lepidoptera population growth
D. provide evidence that lepidoptera populations are self-regulating
E. determine the life stages of lepidoptera at which mortality rates are highest
***
534. Which of the following, if true, would most weaken the author's conclusion in lines 18–22?
A. New research reveals that the number of species of birds and parasites that prey on lepidoptera has dropped significantly in recent years.
B. New experiments in which the habitats of lepidoptera are altered in previously untried ways result in the shortening of lepidoptera population cycles.
C. Recent experiments have revealed that the nuclear polyhedrosis virus is present in a number of predators and parasites of lepidoptera.
D. Differences among the habitats of lepidoptera species make it difficult to assess the effects of weather on lepidoptera population cycles.
E. Viral disease is typically observed in a large proportion of the lepidoptera population.
***
535. According to the passage, before the discovery of new techniques for detecting viral DNA, population ecologists believed that viral diseases
A. were not widely prevalent among insect populations generally
B. affected only the caterpillar life stage of lepidoptera
C. were the driving force behind lepidoptera population cycles
D. attacked already declining caterpillar populations
E. infected birds and parasites that prey on various species of lepidoptera
***
536. According to the passage, nuclear polyhedrosis viruses can remain virulent in the environment only when
A. the polyhedrin protein crystals dissolve
B. caterpillar populations are in decline
C. they are present in large numbers
D. their concentration in a particular area remains low
E. they are sheltered from direct sunlight
***
537. It can be inferred from the passage that while inside its polyhedrin protein crystals, the nuclear polyhedrosis virus
A. is exposed to direct sunlight
B. is attractive to predators
C. cannot infect caterpillars' cells
D. cannot be ingested by caterpillars
E. cannot be detected by new techniques of molecular biology",5,,,RC
"Lines (5) - (30)
Resin is a plant secretion that hardens when exposed to air; fossilized resin is called amber. Although Pliny in the first century recognized that amber was produced from ""marrow discharged by trees,"" amber has been widely misunderstood to be a semiprecious gem and has even been described in mineralogy textbooks. Confusion also persists surrounding the term ""resin,"" which was defined before rigorous chemical analyses were available. Resin is often confused with gum, a substance produced in plants in response to bacterial infections, and with sap, an aqueous solution transported through certain plant tissues. Resin differs from both gum and sap in that scientists have not determined a physiological function for resin.

In the 1950s, entomologists posited that resin may function to repel or attract insects. Fraenkel conjectured that plants initially produced resin in nonspecific chemical responses to insect attack and that, over time, plants evolved that produced resin with specific repellent effects. But some insect species, he noted, might overcome the repellent effects, actually becoming attracted to the resin. This might induce the insects to feed on those plants or aid them in securing a breeding site. Later researchers suggested that resin mediates the complex interdependence, or ""coevolution,"" of plants and insects over time. Such ideas led to the development of the specialized discipline of chemical ecology, which is concerned with the role of plant chemicals in interactions with other organisms and with the evolution and ecology of plant antiherbivore chemistry (plants' chemical defenses against attack by herbivores such as insects).",RC,,,,"538. According to the passage, which of the following is true of plant antiherbivore chemistry?
A. Changes in a plant's antiherbivore chemistry may affect insect feeding behavior.
B. A plant's repellent effects often involve interactions between gum and resin.
C. A plant's antiherbivore responses assist in combating bacterial infections.
D. Plant antiherbivore chemistry plays only a minor role in the coevolution of plants and insects.
E. Researchers first studied repellent effects in plants beginning in the 1950s.
***
539. Of the following topics, which would be most likely to be studied within the discipline of chemical ecology as it is described in the passage?
A. Seeds that become attached to certain insects, which in turn carry away the seeds and aid in the reproductive cycle of the plant species in question
B. An insect species that feeds on weeds detrimental to crop health and yield, and how these insects might aid in agricultural production
C. The effects of deforestation on the life cycles of subtropical carnivorous plants and the insect species on which the plants feed
D. The growth patterns of a particular species of plant that has proved remarkably resistant to herbicides
E. Insects that develop a tolerance for feeding on a plant that had previously been toxic to them, and the resultant changes within that plant species
***
540. The author refers to ""bacterial infections"" (see line 11) most likely in order to
A. describe the physiological function that gum performs in plants
B. demonstrate that sap is not the only substance that is transported through a plant's tissues
C. explain how modern chemical analysis has been used to clarify the function of resin
D. show that gum cannot serve as an effective defense against herbivores
E. give an example of how confusion has arisen with regard to the nature of resin
***
541. The author of the passage refers to Pliny most probably in order to
A. give an example of how the nature of amber has been misunderstood in the past
B. show that confusion about amber has long been more pervasive than confusion about resin
C. make note of the first known reference to amber as a semiprecious gem
D. point out an exception to a generalization about the history of people's understanding of amber
E. demonstrate that Pliny believed amber to be a mineral",5,,,RC
"Lines (5) - (30)
During the 1980s, many economic historians studying Latin America focused on the impact of the Great Depression of the 1930s. Most of these historians argued that although the Depression began earlier in Latin America than in the United States, it was less severe in Latin America and did not significantly impede industrial growth there. The historians' argument was grounded in national government records concerning tax revenues and exports and in government-sponsored industrial censuses, from which historians have drawn conclusions about total manufacturing output and profit levels across Latin America. However, economic statistics published by Latin American governments in the early twentieth century are neither reliable nor consistent; this is especially true of manufacturing data, which were gathered from factory owners for taxation purposes and which therefore may well be distorted. Moreover, one cannot assume a direct correlation between the output level and the profit level of a given industry, as these variables often move in opposite directions. Finally, national and regional economies are composed of individual firms and industries, and relying on general, sweeping economic indicators may mask substantial variations among these different enterprises. For example, recent analyses of previously unexamined data on textile manufacturing in Brazil and Mexico suggest that the Great Depression had a more severe impact on this Latin American industry than scholars had recognized.",RC,,,,"542. The primary purpose of the passage is to
A. compare the impact of the Great Depression on Latin America with its impact on the United States
B. criticize a school of economic historians for failing to analyze the Great Depression in Latin America within a global context
C. illustrate the risks inherent in comparing different types of economic enterprises to explain economic phenomena
D. call into question certain scholars' views concerning the severity of the Great Depression in Latin America
E. demonstrate that the Great Depression had a more severe impact on industry in Latin America than in certain other regions
***
543. Which of the following conclusions about the Great Depression is best supported by the passage?
A. It did not impede Latin American industrial growth as much as historians had previously thought.
B. It had a more severe impact on the Brazilian and the Mexican textile industries than it had on Latin America as a region.
C. It affected the Latin American textile industry more severely than it did any other industry in Latin America.
D. The overall impact on Latin American industrial growth should be reevaluated by economic historians.
E. Its impact on Latin America should not be compared with its impact on the United States.
***
544. Which of the following, if true, would most strengthen the author's assertion regarding economic indicators in lines 25–27?
A. During an economic depression, European textile manufacturers' profits rise while their industrial output remains steady.
B. During a national economic recession, United States microchips manufacturers' profits rise sharply while United States steel manufacturers' profits plunge.
C. During the years following a severe economic depression, textile manufacturers' output levels and profit levels increase in Brazil and Mexico but not in the rest of Latin America.
D. Although Japanese industry as a whole recovers after an economic recession, it does not regain its previously high levels of production.
E. While European industrial output increases in the years following an economic depression, total output remains below that of Japan or the United States.",5,,,RC
"Lines (5) - (30)
Among the myths taken as fact by the environmental managers of most corporations is the belief that environmental regulations affect all competitors in a given industry uniformly. In reality, regulatory costs—and therefore compliance—fall unevenly, economically disadvantaging some companies and benefiting others. For example, a plant situated near a number of larger noncompliant competitors is less likely to attract the attention of local regulators than is an isolated plant, and less attention means lower costs.

Additionally, large plants can spread compliance costs such as waste treatment across a larger revenue base; on the other hand, some smaller plants may not even be subject to certain provisions such as permit or reporting requirements by virtue of their size. Finally, older production technologies often continue to generate toxic wastes that were not regulated when the technology was first adopted. New regulations have imposed extensive compliance costs on companies still using older industrial coal-fired burners that generate high sulfur dioxide and nitrogen oxide outputs, for example, whereas new facilities generally avoid processes that would create such waste products. By realizing that they have discretion and that not all industries are affected equally by environmental regulation, environmental managers can help their companies to achieve a competitive edge by anticipating regulatory pressure and exploring all possibilities for addressing how changing regulations will affect their companies specifically.",RC,,,,"545. It can be inferred from the passage that a large plant might have to spend more than a similar but smaller plant on environmental compliance because the larger plant is
A. more likely to attract attention from local regulators
B. less likely to be exempt from permit and reporting requirements
C. less likely to have regulatory costs passed on to it by companies that supply its raw materials
D. more likely to employ older production technologies
E. more likely to generate wastes that are more environmentally damaging than those generated by smaller plants
***
546. According to the passage, which of the following statements about sulfur dioxide and nitrogen oxide outputs is true?
A. Older production technologies cannot be adapted so as to reduce production of these outputs as waste products.
B. Under the most recent environmental regulations, industrial plants are no longer permitted to produce these outputs.
C. Although these outputs are environmentally hazardous, some plants still generate them as waste products despite the high compliance costs they impose.
D. Many older plants have developed innovative technological processes that reduce the amounts of these outputs generated as waste products.
E. Since the production processes that generate these outputs are less costly than alternative processes, these less expensive processes are sometimes adopted despite their acknowledged environmental hazards.
***
547. Which of the following best describes the relationship of the statement about large plants (lines 12–17) to the passage as a whole?
A. It presents a hypothesis that is disproved later in the passage.
B. It highlights an opposition between two ideas mentioned in the passage.
C. It provides examples to support a claim made earlier in the passage.
D. It exemplifies a misconception mentioned earlier in the passage.
E. It draws an analogy between two situations described in the passage.
***
548. The primary purpose of the passage is to
A. address a widespread environmental management problem and suggest possible solutions
B. illustrate varying levels of compliance with environmental regulation among different corporations
C. describe the various alternatives to traditional methods of environmental management
D. advocate increased corporate compliance with environmental regulation
E. correct a common misconception about the impact of environmental regulations",5,,,RC
"Lines (5) - (25)
Findings from several studies on corporate mergers and acquisitions during the 1970s and 1980s raise questions about why firms initiate and consummate such transactions. One study showed, for example, that acquiring firms were on average unable to maintain acquired firms' pre-merger levels of profitability. A second study concluded that post-acquisition gains to most acquiring firms were not adequate to cover the premiums paid to obtain acquired firms. A third demonstrated that, following the announcement of a prospective merger, the stock of the prospective acquiring firm tends to increase in value much less than does that of the firm for which it bids. Yet mergers and acquisitions remain common, and bidders continue to assert that their objectives are economic ones. Acquisitions may well have the desirable effect of channeling a nation's resources efficiently from less to more efficient sectors of its economy, but the individual executives arranging these deals must see them as advancing either their own or their companies' private economic interests. It seems that factors having little to do with corporate economic interests explain acquisitions. These factors may include the incentive compensation of executives, lack of monitoring by boards of directors, and managerial error in estimating the value of firms targeted for acquisition. Alternatively, the acquisition acts of bidders may derive from modeling: a manager does what other managers do.",RC,,,,"549. The primary purpose of the passage is to
A. review research demonstrating the benefits of corporate mergers and acquisitions and examine some of the drawbacks that acquisition behavior entails
B. contrast the effects of corporate mergers and acquisitions on acquiring firms and on firms that are acquired
C. report findings that raise questions about a reason for corporate mergers and acquisitions and suggest possible alternative reasons
D. explain changes in attitude on the part of acquiring firms toward corporate mergers and acquisitions
E. account for a recent decline in the rate of corporate mergers and acquisitions
***
550. It can be inferred from the passage that the author would be most likely to agree with which of the following statements about corporate acquisitions?
A. Their known benefits to national economies explain their appeal to individual firms during the 1970s and 1980s.
B. Despite their adverse impact on some firms, they are the best way to channel resources from less to more productive sectors of a nation's economy.
C. They are as likely to occur because of poor monitoring by boards of directors as to be caused by incentive compensation for managers.
D. They will be less prevalent in the future, since their actual effects will gain wider recognition.
E. Factors other than economic benefit to the acquiring firm help to explain the frequency with which they occur.
***
551. The author of the passage mentions the effect of acquisitions on national economies most probably in order to
A. provide an explanation for the mergers and acquisitions of the 1970s and 1980s overlooked by the findings discussed in the passage
B. suggest that national economic interests played an important role in the mergers and acquisitions of the 1970s and 1980s
C. support a noneconomic explanation for the mergers and acquisitions of the 1970s and 1980s that was cited earlier in the passage
D. cite and point out the inadequacy of one possible explanation for the prevalence of mergers and acquisitions during the 1970s and 1980s
E. explain how modeling affected the decisions made by managers involved in mergers and acquisitions during the 1970s and 1980s
***
552. The author of the passage implies that which of the following is a possible partial explanation for acquisition behavior during the 1970s and 1980s?
A. Managers wished to imitate other managers primarily because they saw how financially beneficial other firms' acquisitions were.
B. Managers miscalculated the value of firms that were to be acquired.
C. Lack of consensus within boards of directors resulted in their imposing conflicting goals on managers.
D. Total compensation packages for managers increased during that period.
E. The value of bidding firms' stock increased significantly when prospective mergers were announced.",5,,,RC
"Lines (5) - (45)
Historical documents have revealed that among the Timucua of Florida, a Native American people, the best from the hunt or the harvest was given to families of high social status, even in times of economic stress. Archaeological research suggests a similar relationship between social status and diet in the Dallas communities of eastern Tennessee, prehistoric Native American groups with a social organization and economy similar to that of the Timucua. The first real clue came when archaeologists discovered that skeletons of higher-status individuals tended to be several centimeters taller than those of people of lower status.

In the largest Dallas communities, some individuals were buried in the earthen mounds that served as substructures for buildings important to civic and religious affairs. These burials included quantities of finely crafted items made of nonlocal material, denoting the high political standing of those interred. Burials of lower-status individuals contained primarily utilitarian items such as cooking vessels and chipped stone tools and are located in more remote sections of the settlements. The burials actually formed a pattern, the tallest skeletons being found in the mounds, and the heights declining as burials became more distant from the mounds. While it is possible that taller people were simply more successful in achieving high social standing, it is more likely that a number of stresses, including those resulting from a relatively poor diet, which could affect stature, were common among the lower-status groups.

Excavations indicate that three food categories made up the bulk of the population's diet: agricultural crops cultivated in the fertile alluvial soils where the communities were located, game, and wild edible plants, primarily nuts. Information about dietary variation among community members is derived by analyzing trace elements in human bone. Higher than normal levels of manganese, strontium, and vanadium probably indicate a less nutritious diet heavily dependent on edible plants. Very low concentrations of vanadium, which is scarce in meats and somewhat lower in nuts than in other plant resources, are good evidence of meat consumption and thus a better balanced diet. As expected, vanadium was found in considerably greater quantities in skeletons in the burials of lower-status groups.",RC,,,,"553. According to the passage, which of the following statements regarding earthen mounds in the Dallas communities is accurate?
A. They served primarily as burial grounds.
B. They were constructed in key locations on the perimeter of the village.
C. They were elements in important structures in the community.
D. They were used as storehouses for keeping valuable possessions safe.
E. They contained utilitarian items made of nonlocal materials.
***
554. In lines 26–28, the author of the passage raises the possibility that taller people achieved greater success most probably in order to
A. suggest that two explanations for a phenomenon are equally plausible
B. introduce empirical data supporting a position
C. anticipate an objection to an argument
D. question the usefulness of relying solely on physical evidence
E. point out a weakness in a traditional argument
***
555. The passage suggests that the ""relationship"" mentioned in line 6 was initially recognized when archaeologists
A. attempted to trace the ancestry of the Timucua of Florida
B. discovered a height differential among members of subgroups in the Dallas community
C. realized that the Dallas communities endured periods of nutritional deprivation
D. began to compare the social organization and economies of the Timucua with that of the Dallas communities
E. became curious about differences in trace elements found in the bones of Dallas community members
***
556. The passage suggests which of the following about the diet of the Dallas communities?
A. Wild edible plants were a relatively minor element in the diet.
B. Game was less likely to be available to lower-status individuals than were edible plants.
C. The diet was composed primarily of agricultural crops when game was scarce.
D. The diet was obtained entirely from local food sources.
E. The diet was well balanced, especially at harvest-time.",5,,,RC
"Lines (5) - (25)
Historically, relations between workers and employers in the United States have often been characterized by the employment-at-will doctrine, according to which the duration of employment is determined by the employer and the grounds for termination are limited only by the provisions of contracts and specific statutes. Many state courts and legislatures have reevaluated this doctrine and have modified it by expanding the concept of wrongful termination, thereby increasing employer liability. Some economic theorists suggest that such changes tend to reduce employment in states that enact them, because protecting workers against wrongful termination raises the cost of labor to employers: firms will tend to spend more time and money screening potential employees, be reluctant to terminate less-productive workers, and incur greater legal expenses. In a study that took into account differences among states, researchers Dertouzos and Karoly concluded that states with wrongful-termination laws experienced a 2 percent to 5 percent drop in their employment rate as a result of adopting these laws. They also found that the impact on employment appears to be smallest in manufacturing, where unions have already institutionalized similar protection, and in small firms, perhaps because those firms' lesser ability to pay damages makes it less profitable for employees to file wrongful-termination lawsuits against them.",RC,,,,"557. The primary purpose of the passage is to
A. explore the legal consequences of terminating a worker's employment
B. define the employment-at-will doctrine and chronicle its historical evolution
C. examine reasons underlying a trend away from the employment-at-will doctrine
D. advocate increased protection for workers against wrongful termination by employers
E. discuss a possible drawback of state laws intended to protect workers against wrongful termination
***
558. Which of the following best describes the organization of the passage?
A. An idea is proposed and arguments against it are examined and then refuted.
B. A doctrine is defined and reasons for favoring its adoption are listed.
C. A doctrine is criticized, several possible alternatives are outlined, and one is endorsed.
D. An idea is described, its antithesis is presented, and a synthesis of the two is proposed.
E. A doctrine is defined, a revision to it is described, and the implications of that revision are discussed.
***
559. The passage suggests which of the following regarding wrongful-termination lawsuits?
A. States that do not implement wrongful-termination laws will probably see an increase in wrongful-termination lawsuits.
B. It is less profitable to file wrongful-termination lawsuits against unionized companies than against companies without unions.
C. A wrongful-termination lawsuit is less costly to a company than continuing the employment of an unproductive worker.
D. Obtaining financial compensation is an important motivation for filing wrongful-termination lawsuits.
E. Those who file wrongful-termination lawsuits are likely to be awarded larger settlements under the employment-at-will doctrine than under wrongful-termination laws.",5,,,RC
"Lines (5) - (30)
Two works published in 1984 demonstrate contrasting approaches to writing the history of United States women. Buel and Buel's biography of Mary Fish (1736–1818) makes little effort to place her story in the context of recent historiography on women. Lebsock, meanwhile, attempts not only to write the history of women in one southern community, but also to redirect two decades of historiographical debate as to whether women gained or lost status in the nineteenth century as compared with the eighteenth century. Although both books offer the reader the opportunity to assess this controversy regarding women's status, only Lebsock's deals with it directly. She examines several different aspects of women's status, helping to refine and resolve the issues. She concludes that while women gained autonomy in some areas, especially in the private sphere, they lost it in many aspects of the economic sphere. More importantly, she shows that the debate itself depends on frame of reference: in many respects, women lost power in relation to men, for example, as certain jobs (delivering babies, supervising schools) were taken over by men. Yet women also gained power in comparison with their previous status, owning a higher proportion of real estate, for example. In contrast, Buel and Buel's biography provides ample raw material for questioning the myth, fostered by some historians, of a colonial golden age in the eighteenth century but does not give the reader much guidance in analyzing the controversy over women's status.",RC,,,,"560. The primary purpose of the passage is to
A. examine two sides of a historiographical debate
B. call into question an author's approach to a historiographical debate
C. examine one author's approach to a historiographical debate
D. discuss two authors' works in relationship to a historiographical debate
E. explain the prevalent perspective on a historiographical debate
***
561. The author of the passage mentions the supervision of schools primarily in order to
A. remind readers of the role education played in the cultural changes of the nineteenth century in the United States
B. suggest an area in which nineteenth-century American women were relatively free to exercise power
C. provide an example of an occupation for which accurate data about women's participation are difficult to obtain
D. speculate about which occupations were considered suitable for United States women of the nineteenth century
E. illustrate how the answers to questions about women's status depend on particular contexts
***
562. With which of the following characterizations of Lebsock's contribution to the controversy concerning women's status in the nineteenth-century United States would the author of the passage be most likely to agree?
A. Lebsock has studied women from a formerly neglected region and time period.
B. Lebsock has demonstrated the importance of frame of reference in answering questions about women's status.
C. Lebsock has addressed the controversy by using women's current status as a frame of reference.
D. Lebsock has analyzed statistics about occupations and property that were previously ignored.
E. Lebsock has applied recent historiographical methods to the biography of a nineteenth-century woman.
***
563. According to the passage, Lebsock's work differs from Buel and Buel's work in that Lebsock's work
A. uses a large number of primary sources
B. ignores issues of women's legal status
C. refuses to take a position on women's status in the eighteenth century
D. addresses larger historiographical issues
E. fails to provide sufficient material to support its claims
***
564. The passage suggests that Lebsock believes that compared to nineteenth-century American women, eighteenth-century American women were
A. in many respects less powerful in relation to men
B. more likely to own real estate
C. generally more economically independent
D. more independent in conducting their private lives
E. less likely to work as school superintendents
***
565. The passage suggests that Buel and Buel's biography of Mary Fish provides evidence for which of the following views of women's history?
A. Women have lost power in relation to men since the colonial era.
B. Women of the colonial era were not as likely to be concerned with their status as were women in the nineteenth century.
C. The colonial era was not as favorable for women as some historians have believed.
D. Women had more economic autonomy in the colonial era than in the nineteenth century.
E. Women's occupations were generally more respected in the colonial era than in the nineteenth century.",5,,,RC
"Lines (5) - (30)
Acting on the recommendation of a British government committee investigating the high incidence in white lead factories of illness among employees, most of whom were women, the Home Secretary proposed in 1895 that Parliament enact legislation that would prohibit women from holding most jobs in white lead factories. Although the Women's Industrial Defence Committee (WIDC), formed in 1892 in response to earlier legislative attempts to restrict women's labor, did not discount the white lead trade's potential health dangers, it opposed the proposal, viewing it as yet another instance of limiting women's work opportunities.

Also opposing the proposal was the Society for Promoting the Employment of Women (SPEW), which attempted to challenge it by investigating the causes of illness in white lead factories. SPEW contended, and WIDC concurred, that controllable conditions in such factories were responsible for the development of lead poisoning. SPEW provided convincing evidence that lead poisoning could be avoided if workers were careful and clean and if already extant workplace safety regulations were stringently enforced. However, the Women's Trade Union League (WTUL), which had ceased in the late 1880s to oppose restrictions on women's labor, supported the eventually enacted proposal, in part because safety regulations were generally not being enforced in white lead factories, where there were no unions (and little prospect of any) to pressure employers to comply with safety regulations.",RC,,,,"566. The passage suggests that WIDC differed from WTUL in which of the following ways?
A. WIDC believed that the existing safety regulations were adequate to protect women's health, whereas WTUL believed that such regulations needed to be strengthened.
B. WIDC believed that unions could not succeed in pressuring employers to comply with such regulations, whereas WTUL believed that unions could succeed in doing so.
C. WIDC believed that lead poisoning in white lead factories could be avoided by controlling conditions there, whereas WTUL believed that lead poisoning in such factories could not be avoided no matter how stringently safety regulations were enforced.
D. At the time that the legislation concerning white lead factories was proposed, WIDC was primarily concerned with addressing health conditions in white lead factories, whereas WTUL was concerned with improving working conditions in all types of factories.
E. At the time that WIDC was opposing legislative attempts to restrict women's labor, WTUL had already ceased to do so.
***
567. Which of the following, if true, would most clearly support the contention attributed to SPEW in lines 17–20?
A. Those white lead factories that most strongly enforced regulations concerning worker safety and hygiene had the lowest incidences of lead poisoning among employees.
B. The incidence of lead poisoning was much higher among women who worked in white lead factories than among women who worked in other types of factories.
C. There were many household sources of lead that could have contributed to the incidence of lead poisoning among women who also worked outside the home in the late nineteenth century.
D. White lead factories were more stringent than were certain other types of factories in their enforcement of workplace safety regulations.
E. Even brief exposure to the conditions typically found in white lead factories could cause lead poisoning among factory workers.
***
568. The passage is primarily concerned with
A. presenting various groups' views of the motives of those proposing certain legislation
B. contrasting the reasoning of various groups concerning their positions on certain proposed legislation
C. tracing the process whereby certain proposed legislation was eventually enacted
D. assessing the success of tactics adopted by various groups with respect to certain proposed legislation
E. evaluating the arguments of various groups concerning certain proposed legislation",5,,,RC
