,Answer,Type,,Size,Questions,Flags
"The paleontologist's (i) ____________ orthodoxy meant that the evidence he had so painstakingly gathered would inevitably be (ii) __________ by his more conventional colleagues.

A. break with              D. considered
B. dependence on           E. contested
C. reputation for          F. classified","A,E",Two Blank,,,,6
"Interpreting data on controversial issues generated from live, as opposed to automated, telephone polls can be complicated by the fact that responders sometimes (i) ________ their views to live pollsters if they believe those views may be considered socially unacceptable. In contrast, automated polling may minimize the (ii) ________ these responders feel, and generate more accurate data.

A. demonstrate           D. stagnation
B. expound               E. relief
C. misrepresent          F. stigma","C,F",Two Blank,,,,6
"The two friends, both English teachers, had a tendency to endlessly (i) ________ over small grammatical points; no one else cared whether the word in question was the predicate nominative or predicate adjective of the sentence, but determining who was right was, for them, (ii) ________.

A. prevail          D. irrelevant
B. quibble          E. paramount
C. exult            F. didactic","B,E",Two Blank,,,,6
"The well-behaved children were (i) ________ and required no (ii) ________ so their parents were always happy to take them on trips.

A. decorous           D. supervision
B. finicky            E. affluence
C. exquisite          F. ecumbrance","A,D",Two Blank,,,,6
"No less incendiary amongst the populace than many other “hot button” issues of the day, “fracking”— or hydraulic fracturing of the earth’s surface to acquire gas, a practice that mostly takes place in remote parts of the country— has been (i) ______ the national dialogue come election time, perhaps because voters are typically (ii) ______ environmental problems that do not occur in their own backyards, so to speak.

A. unfairly tarnished in          D. misinformed about
B. a prominent theme in           E. worked up over
C. curiously absent from          F. unmoved by","C,F",Two Blank,,,,6
"Galileo was not the first astronomer to question the (i) _____ view of the Earth as being at the center of the universe, but he was the most vocal, so his ideas were (ii) _____ by the Catholic Church.

A. heliocentric          D. authorized
B. eurocentric           E. proscribed
C. geocentric            F. legitimized","C,E",Two Blank,,,,6
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
For some time, scientists refused to believe that Earth’s continents are made of moving tectonic plates. Physicists, who could not devise a theory to explain the now-accepted process, rejected the theory outright, as did geologists, who were far too ____(i)____ in their thinking, thereby ____(ii)____ the advancement of science for a time.

A. officious          D. checking
B. assiduous          E. limning
C. dogmatic           F. asseverating","C,D",Two Blank,,,,6
"While there isn’t yet enough evidence to prove that any one food can (i) ________ the risk of lung cancer, a “heart-healthy” diet can (ii) ________ other risk factors, such as obesity, that can lead to various forms of cancer.

A. increase          D. attack
B. reduce            E. detach
C. assert            F. diminish","B,F",Two Blank,,,,6
"Initially (i) ________ the homeowner’s claims of supernatural activity, the Ghost Hunters soon discovered that the house was indeed haunted, but that the ghost was more playful and curious than the traditionally (ii) ________ and solitary spirits they had encountered other places.

A. credulous of          D. lugubrious
B. dubious of            E. jocund
C. receptive to          F. inquisite","B,D",Two Blank,,,,6
"Known as “The City of Trees,” Sacramento has more trees per capita than does Paris, is filled with tree-lined streets and thoroughfares, and even has (i) ________ art installation in City Hall. However, recent budget cuts have (ii) ________ the Urban Forestry workforce, causing some concern about the future of Sacramento’s green canopy.

A. an arboreal               D. amalgamated
B. an impressionist          E. ameliorated
C. a terrestrial             F. abridged","A,F",Two Blank,,,,6
"Jeremy was not one to (i) _________ his success, so his family was shocked when they finally discovered that their (ii) _________ son was a Rhodes Scholar.

A. demarcate          D. prodigal
B. whitewash          E. taciturn
C. trumpet            F. dissolute","C,E",Two Blank,,,,6
"Marty could not help but view the glass as half-empty: for example, when the economy turned around and jobs began to ____(i)____, Marty insisted to all who would listen that the good news would be quite transient, that another recession was ____(ii)____, and that those who doubted him would later appreciate his unwillingness to celebrate.

A. proliferate          D. superfluous
B. aggrandize           E. imminent
C. pique                F. odious","A,E",Two Blank,,,,6
"The movement in literature known as realism was so named because of its attempt to describe life without idealization or romantic subjectivity; similarly, the realist movement in art had as its intent the (i) ________ of natural forms without (ii) ________.

A. obfuscation           D. vulgarity
B. rendering             E. embellishment
C. adulteration          F. intrusion","B,E",Two Blank,,,,6
"Dorsey’s film criticisms are (i) _______ in that his critiques (ii) _______ the accepted views of most commentators of film.

A. impartial               D. distill
B. unconventional          E. conform to
C. celebrated              F. defy","B,F",Two Blank,,,,6
"An experienced film critic is one who not only calls attention to the (i) ________ of a particular feature, but also puts forth legitimate (ii) ________ that, if employed, would create a more satisfying product.

A. fascinations          D. recommendations
B. origins               E. statistics
C. shortcomings          F. controversies","C,D",Two Blank,,,,6
"Freud’s structural model of the psyche should be understood as (i) _________ device, useful for inciting and guiding discovery, rather than as an attempt to (ii) _________ physical relationships among parts of the human brain.

A. a heuristic             D. dictate
B. a hermeneutic           E. ameliorate
C. an allegorical          F. represent","A,F",Two Blank,,,,6
"Jimmy Stewart, the actor, spoke with an (i) _________ that (ii) _________ audiences; through hesitancy and understatement, he was at least as captivating as his flamboyant peers.

A. awkward lisp                  D. enthralled
B. overwhelming passion          E. repelled
C. appealing shyness             F. amused","C,D",Two Blank,,,,6
"Though seemingly axiomatic, the principle of ""finders keepers"" causes (i) ________ debate when applied to antiquities. Looters who prize a quick payoff above archaeological scholarship frequently raid graves and other ancient sites, seeking anything they can sell on the international market; this (ii) ________ the country's claim to ownership of its cultural treasures and destroys the historical record.

A. dispassionate          D. stabilizes
B. perfunctory            E. flouts
C. contentious            F. demotes","C,E",Two Blank,,,,6
"The psychological costs of confinement become apparent when certain case studies involving prisoners-of-war are reviewed. Often, when granted freedom, former captives display a notable (i)__________rejoining the outside world, and despite the (ii)__________of their emancipators, prefer to remain inside their more familiar, and thus seemingly less threatening, prison cells.

A. aversion to               D. nonchalance
B. reluctance about          E. exhortations
C. excitement about          F. faults","B,E",Two Blank,,,,6
"When people are happy, they tend to give____interpretations of events they witness: the eye of the beholder is ____by the emotions of beholder.
1.

A. charitable           D. confused
B. elaborate            E. sharpened
C. coherent
2.          F. coloured","A,F",Two Blank,,,,6
"The replacement of human steelworkers with robots has not only made the steel production process involving molten metal less (i)​ _______ but has also (ii)​ _______ production quality due to the robots’ ability to make very precise measurements, each at the same exact place and under the same conditions as the others.

A. humane                 D. hampered
B. perilous               E. sterilized
C. compassionate          F. enhanced","B,F",Two Blank,,,,6
"The neglect of the old theater was (i) _______​ in the extreme (ii) ________​ of the building, which was no longer safe to enter.

A. hinted at          D. dilapidation
B. suggested          E. depilation
C. manifest           F. radiance","C,D",Two Blank,,,,6
"The spice saffron is made from the stigma of the Crocus sativus plant; the (i) ​________ number of blossoms required to produce saffron and the (ii) ​_________ of the flower makes the spice the most expensive in the world.

A. vast            D. color
B. meager          E. hardiness
C. unique          F. delicacy","A,F",Two Blank,,,,6
"It takes only a (i) _________ of dry shrub for an errant spark to turn into a destructive (ii) _________.

A. surfeit            D. conflagration
B. scintilla          E. incendiary
C. pallet             F. havoc","B,D",Two Blank,,,,6
"The most (i) ________ puzzle was in determining how to deliver the antisense strand to the right place at the right moment, after the virus had penetrated the cell but before it had replicated and escaped to infect other cells. To accomplish this, the synthetic strand had to be potent enough to be effective and to resist rapid (ii) _________ inside the body, allowing it time to accomplish its task.

A. recalcitrant          D. desiccation
B. pedestrian            E. degradation
C. monolithic            F. compunction","A,E",Two Blank,,,,6
"While courage is an important virtue to teach—and his character is indeed (i) _________—a cartoon mouse with a (ii) _________ for excessive violence is hardly an appropriate mascot for a children’s charity.

A. mettlesome          D. penchant
B. impetuous           E. kinship
C. heady               F. largess","A,D",Two Blank,,,,6
"While she was known to all her friends as quite the (i) _________ , legendary for humorous stories from her years spent driving a taxi, her private behavior belied this (ii) ________ image.

A. sage                  D. belligerent
B. prevaricator          E. pedantic
C. raconteur             F. genial","C,F",Two Blank,,,,6
"The Eastern Woodlands Native Americans who originated lacrosse would likely not recognize how the sport has (i) _______. While early games involved hundreds of players, featured sticks without nets, and required every participant to place a wager, the modern-day sport is played by ten-player teams using sophisticated equipment, mainly at the high school and collegiate level; what does remain are the (ii) _______, such as stick preparation, pep talks, and team chants, which are performed by both sides before every game in hopes of a victory.

A. morphed             D. imprecations
B. digressed           E. rituals
C. oscillated          F. antics","A,E",Two Blank,,,,6
"(i) _________ is unlikely to serve someone (ii) _________ by liars and fabulists.

A. credulity          D. foresaken
B. duplicity          E. brooked
C. ingenuity          F. beset","A,F",Two Blank,,,,6
"A perfectionist in all things, Joseph expected to immediately become a (i) __________ and was downtrodden indeed when he remained (ii) ______ despite his best efforts.

A. hack              D. novel
B. musician          E. inane
C. virtuoso          F. inept","C,F",Two Blank,,,,6
"Seeing its only alternative to be a (i) _________ diplomacy unbecoming of political visionaries—as members of the so-called National Liberation Organization saw themselves in those days—the militant branch veered toward a policy of (ii) _________ aggression against its perceived ethnic rivals.

A. wheedling             D. supine
B. freewheeling          E. unremitting
C. verdant               F. superfluous","A,E",Two Blank,,,,6
"A (i) _________ ran through the crowd of protesters chanting slogans and threats when the queen made the sudden announcement—only a fortnight after vowing not to give in to the popular demands for her departure—that she would abdicate the throne, (ii) _________ a period of disorder and confusion.

A. frisson            D. marring
B. murmur             E. precipitating
C. panegyric          F. diluting","A,E",Two Blank,,,,6
"Fearful of being seen as (i)_________, the Bieber Appreciation Society took pains to include (ii) _________ voices in its monthly newsletter.

A. enthusiasts          D. conciliatory
B. detractors           E. critical
C. toadies              F. tantamount","C,E",Two Blank,,,,6
"The intrepid group of veteran hikers chose to advance along a mountain path that was notoriously (i)​ _______, while the (ii)​  ________ team of inexperienced hikers took a decidedly more circuitous, though less challenging, trail.

A. facile               D. circumspect
B. scenic               E. bewildered
C. treacherous          F. reckless","C,D",Two Blank,,,,6
"The Dewey Decimal System, a numerical method devised by Melvil Dewey in 1876 for categorizing nonfiction books according to topic, may seem (i)​ _______when compared to the advanced technologies found today in most modern libraries, but it continues to be a valuable organizational tool. The system has developed dramatically since its inception, and it is likely to continue to evolve in perpetuity as the accumulation of the knowledge it catalogs is (ii)​ _______ pursuit.

A. abstruse           D. a vacuous
B. archaic            E. an illuminating
C. misguided          F. an inexhaustible","B,F",Two Blank,,,,6
"The (i)_______ gave such an impassioned speech that even the most forlorn members of the crowd were briefly moved to (ii)_______.

A. orator              D. despair
B. miscreant           E. duress
C. interloper          F. ebullience","A,F",Two Blank,,,,6
"Crane Brinton argued that the middle phases of revolutions are especially (i) _________ because the unleashed force of social momentum transfers power inexorably from more stable (if oppressive) forces to less temperate ones. Yet, he then goes on to say that the excesses (ii) _________ and a more peaceful period of “Thermidor” ensues.

A. brusque          D. metastasize
B. berserk          E. grow
C. pacific          F. recede","B,F",Two Blank,,,,6
"The issue of cafeteria size was in fact (i) _______ to the town’s school redistricting plans. Despite including (ii) _______classrooms, Lakewood Middle School lacked the cafeteria facilities to allow additional students to eat lunch within a reasonable time frame.

A. germane             D. superfluous
B. salubrious          E. frangible
C. extraneous          F. deficient","A,D",Two Blank,,,,6
"Hindsight often has the effect of changing the collective perception of certain historical events. Some incidents seem to be of exceptional importance when they first occur, but they ultimately prove to have few (i) ________ for future generations. Others appear to be rather (ii) ________ to contemporaries, and it is only later that their true significance is understood.

A. vagaries                  D. monumental
B. misapprehensions          E. picayune
C. repercussions             F. outlandish","C,E",Two Blank,,,,6
"Who among us isn’t guilty of mistaking a polite rhetorical question such as a (i) ​ _______ “How are you?” for a genuine inquiry and responding with (ii) ​ ________ description of the minutiae of our day?

A. supercilious          D. a prolix
B. perfunctory           E. a pithy
C. gregarious            F. an abstruse","B,D",Two Blank,,,,6
"Though the poet’s work was praised highly by critics, sales of his anthologies were (i) ________​; it is possible the poor sales were due to his language being too (ii) ​ _______ to be readily understood.

A. scanty            D. lucid
B. robust            E. prosaic
C. singular          F. abstruse","A,F",Two Blank,,,,6
"Increasingly, the boundaries of congressional seats are drawn in order to protect incumbents, as legislators engineer the demographics of each district such that those already in office can coast to (i)____________ victory. Of course, there is always the possibility that the incumbent will face a challenge from within his or her own party. Nevertheless, once the primary is over, the general election is (ii)____________ .

A. an ineluctable          D. seldom nugatory
B. an invidious            E. remarkably contentious
C. a plangent              F. merely denouement","A,F",Two Blank,,,,6
"The captain (i) ___________ (ii) ___________ for as long as he could, but eventually the crew became frustrated with the small portions of mead and the dearth of plunder, and decided to take matters into their own hands.
Blank i
Blank ii

A. dissuaded            D. sea change
B. warded off           E. mutiny
C. depreciated          F. putsch","B,E",Two Blank,,,,6
"Condominium owners have become so accustomed to the tax advantages derived from their rental properties that a fiscal policy designed to withdraw these benefits would invite (i)__________. Indeed, implementation of such a policy would be akin to trying to (ii)__________a bone from the jaws of a starving dog.

A. forbearance          D. prize
B. indignation          E. prohibit
C. apathy               F. conceal","B,D",Two Blank,,,,6
"St. Elmo’s fire is a weather phenomenon that, (i) ​ ________ it has been documented since ancient times, was not (ii) ​ ________ until recently.

A. because           D. incinerated
B. since             E. reported
C. although          F. understood","C,F",Two Blank,,,,6
"Everyone believed the team was favored with athletic talent and a seasoned, successful coaching staff; consequently, it was difficult to (i) ​ ________ why the team was (ii) ​ _________ so badly against one of the worst teams in the division.

A. fathom               D. elevating
B. interpolate          E. dominating
C. explore              F. floundering","A,F",Two Blank,,,,6
"Reversing (i)______ is a key piece of the logical procedure. Science continues in stops and starts. Given the intrinsic vulnerability in making new information, mistakes will be made, and must be revised. Indeed, even in situations where discoveries are not formally withdrawn, they are here and there (ii)___________ — completely demonstrated to be bogus, and in this manner not, at this point substantial bits of logical data.

A. mistakes             D. endorsed
B. experiments          E. misinterpreted
C. rituals              F. reversed","A,F",Two Blank,,,,6
"His inherent (i) ________________ leisure proved beneficial to his finances but (ii) ________________ his personal development, since he never gave himself time to pursue hobbies.

A. consumption with          D. deleterious to
B. ignorance of              E. fortuitous to
C. aversion to               F. derivative of","C,D",Two Blank,,,,6
"Ironically, the commentator who so roundly condemned personal (i) _________ was (ii) _________ to the point of bankruptcy—he himself was a reflection of an aspect of the ills that, in other areas, he railed against.

A. lacunae              D. profligate
B. probity              E. antediluvian
C. dissipation          F. ascetic","C,D",Two Blank,,,,6
"Those who blithely advocate a tax increase on wealthier corporations, indicating that many such corporations volunteer to pay more taxes, are mistaken. Firstly, such corporations often have (i)__________, self-serving motives that many in the public cannot or do not notice. Secondly, whether the corporations are cognizant of the fact or not, such tax raises would undoubtedly (ii)__________their global strength.

A. openhanded          D. sap
B. ulterior            E. buttress
C. miserly             F. supersede","B,D",Two Blank,,,,6
"The butterfly’s (i)__________, though (ii)__________, allowed the entomologist ample time with which to fashion a quick sketch of its markings.

A. pulchritude             D. camoufleged
B. verisimilitude          E. short-lived
C. quiescence              F. frigile","C,E",Two Blank,,,,6
"To her friends’ (i) _________, because she had never expressed an interest in travel, Lovia decided to teach English in Thailand, (ii) ________in that country for a year.

A. delight               D. sojourning
B. astonishment          E. retiring
C. dismay                F. persevering","B,D",Two Blank,,,,6
"Once the formerly nomadic people developed farming and settled in a valley rich in natural resources and protected from invaders, they were able to live a (i) _______ existence for hundreds of years, a period which was (ii) _______only in the twentieth century when contact with Westerners destroyed that way of life.

A. inveterate          D. scotched
B. fatuous             E. hindered
C. halcyon             F. initiated","C,D",Two Blank,,,,6
"Mixed-media artist Mae Chevrette begins each painting by affixing to canvas a photo from her travels, then embedding (i) ____________ such as used ticket stubs and concert posters before applying paint. The final works, emblazoned with quotes as well as evidence of Chevrette’s extensive and wide-ranging travels, convey a sense of joyful (ii) __________ .

A. devices             D. philosophy
B. apocryphal          E. wanderlust
C. ephemera            F. anomie","C,E",Two Blank,,,,6
"Simony is one of the three primary (i) ___________ in Joyce’s Dubliners, recurring in almost every story in the collection. In some stories, the simony is more or less literal, with characters attempting to purchase salvation with money. In other stories, it arrives in a more (ii) ____________ form.

A. theses              D. spiritual
B. leitmotifs          E. pecuniary
C. characters          F. figurative","B,F",Two Blank,,,,6
"Ernest Hemingway, the novelist and proponent of traditional masculine virtues that were already considered (i) _________ by his more progressive peers, eventually lost currency with the general public; although his earlier literary works remained popular, his continuing adherence to that code drove him to disdain society, which, in turn, (ii) _________ him.

A. effeminate             D. shunned
B. anachronistic          E. eulogized
C. sardonic               F. murdered","B,D",Two Blank,,,,6
"Many (i) _________ have commentated that football reflects an industrial perspective because the game time is inflexibly determined by the clock, whereas baseball stems from an agrarian one, in which, the passage of time is more (ii) _________ and determined by events.

A. pundits              D. amorphous
B. amateurs             E. asymmetrical
C. dilettantes","A,D",Two Blank,,,,6
"As opposed to the hedonism and (i) ___________ of his undergraduate years, during his doctoral program, Boehm became a model of (ii) ___________ and his earnest devotion led to academic laurels.

A. apathy                D. diligence
B. studiousness          E. morality
C. duplicity             F. detachment","A,D",Two Blank,,,,6
"Some anti-gentrification activists view the recent passing of Leslie Buck, designer of the (i)__________and iconic Greek-inspired coffee cup design seen throughout New York, as a (ii)__________of a new era; as neighborhoods become more affluent, activists say, the cup will likely continue to disappear as rapidly as affordable housing will.

A. ubiquitous            D. portent
B. iconoclastic          E. benchmark
C. changing              F. transformation","A,D",Two Blank,,,,6
"Like Evelyn Waugh, Martin Amis infuses his prose with his own (i) __________ wit. His satiric novels are honeycombed with cutting jibes honed to razor sharpness, and consequently even his scenes chronicling grotesque tragedies often bring a (ii) __________ smile to the reader’s lips.

A. sartorial              D. disapproving
B. scintillating          E. discreet
C. feckless               F. wry","B,F",Two Blank,,,,6
"The journalist was (i)________ in his pursuit of the scandal he suspected: despite a lack of support from his editors, he was determined to investigate day and night, follow every lead, and write until dawn to (ii)________ the big news agencies and release the story first.

A. decorous               D. surmount
B.                        E. forestall
C. indefatigable          F. deprecate","C,D",Two Blank,,,,6
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
When the mother _____(i)_____ the disruptive child, she did not expect his siblings to encourage malevolent behavior; rather, she anticipated that the children would mock and _____(ii)_____ their troublesome brother and through this punishment, he would refrain from harassing others.

A. touted               D. deride
B. calumniated          E. laud
C. pilloried            F. renege","C,D",Two Blank,,,,6
"The relationship between the two leaders has gone from positively (i) _________ to chilly at best, not least because the recent arms scandal threatens to (ii) _________ the mutual trust that has been held on both sides for years.

A. parsimonious          D. bolster
B. reverent              E. erode
C. congenial             F. fester","C,E",Two Blank,,,,6
"A retreat to nature appealed to Thoreau for reasons other than the solitude that it provided. Thoreau believed that (i) _______ the untamed put him in touch with an (ii) _______ that, by definition, could not be replicated by the schemings of 19th-century man.

A. deflection of           D. unpredictability
B. immersion in            E. austerity
C. lionization of          F. simplicity","B,D",Two Blank,,,,6
"Although he founded an entire magazine about the art of the interview, Warhol was himself a (i) ______ interview subject, revealing little about his life and work and often supplying (ii) ______ answers to straightforward questions.

A. definitive          D. ominous
B. callow              E. meticulous
C. laconic             F. enigmatic","C,F",Two Blank,,,,6
"The description of Green’s scholarship as (i)_____ is grossly misleading: while her research on interstellar particles is not especially novel, the conclusions she draws from her data are (ii)_____.

A. esoteric             D. remarkably pioneering
B. tendentious          E. dubiously supported
C. derivative           F. strangely comforting","C,D",Two Blank,,,,6
"Free speech is often taken by the general population to be a sacred guarantee of the right to dissent, but this high valuation may be only (i) _________ in a society where any divergence from the general opinion leaves one labeled (ii) _________ or even an outcast.

A. a nostrum            D. an assassin
B. a catalyst           E. a nuisance
C. an adjuvant          F. a miser","A,E",Two Blank,,,,6
"Though (i)_____in her personal life, Ed St. Vincent Millay was nonetheless (ii)_____about her work, usually producing several pages of complicated in a day - a fortune in work quantity for a writer at that time.

A. jaded                 D. ascetic
B. impulsive             E. disciplined
C. self-assured          F. sanguine","B,E",Two Blank,,,,6
"(i)_____ it has fallen from popularity, legends of the kingdom of the priest-king Prester John stirred the imagination of Europe for the second half of the Middle Ages (and beyond), when countless explorers and cartographers traveled to the East, hoping to (ii)_____ the true kingdom's location and learn more about its leader.

A. Before that          D. contravene
B. Given that           E. descry
C. Although             F. debunk","C,E",Two Blank,,,,6
"The renewable energy companies in competition for funding all had compelling ideas, but despite the (i)___________nature of the solar panel firm and its research, it bested the more inveterate competitors in attendance, (ii)___________the lion’s share of the acclaim at the festival.

A. veteran                D. demurring
B. inchoate               E. relinquishing
C. indefatigable          F. garnering","B,F",Two Blank,,,,6
"Owing to his distinctive (i)_____ on the Declaration of Independence, John Hancock's name has become a (ii)_____ for one's signature.

A. composition          D. homonym
B. flair                E. metonym
C. hand                 F. synonym","C,E",Two Blank,,,,6
"The history of the region’s natural resources has been one of initial (i)_____ followed by (ii)_____; as such the region has over time gone from a resource-rich to a resource-dependent economy.

A. disappointment          D. growing interdependence
B. abundance               E. draconian regulation
C. conservation            F. rapacious depletion","B,F",Two Blank,,,,6
"Except for a few passages in the biography in which the subject’s flaws are (i)_____, the author’s treatment of her subject is (ii)_____.

A. too harshly judged            D. erudite
B. analyzed in depth             E. judicious
C. frankly acknowledged          F. acrimonious","A,E",Two Blank,,,,6
"Though in her home country of Denmark the singer always enjoyed an outpouring of support verging on the (i) _________ , she continues overseas to confront certain impediments to success —evidence, perhaps, that not all art is (ii) _________ .

A. evanescent            D. fully decipherable
B. adulatory             E. universally translatable
C. totalitarian          F. entirely tractable","B,E",Two Blank,,,,6
"Two years after the legislature’s (i) _________ approval of the community edifice, construction came to an equally public standstill, largely due to the unforeseen hemorrhaging of the (ii) _________ funds at the hands of spendthrift leaders.

A. scorned           D. adduced
B. heralded          E. adumbrated
C. ratified          F. appropriated","B,F",Two Blank,,,,6
"The biography, a (i) _________ account of a (ii) _________ life, was a gripping read, though hardly appropriate for young readers.

A. faux-naif                 D. callow
B. no-holds-barred           E. stonewalled
C. dyed-in-the-wool          F. storied","B,F",Two Blank,,,,6
"This question is part of Princeton Review 1014, Practice Questions for the New GRE Verbal Question Directory
It struck Professor Steele as _____(i)_____ that the eighteenth-century Bavarians devoted such effort to building houses of worship because at the same time, the rest of Europe’s religious fervor was _____(ii)_____, while movements such as nihilism gained steam.

A. felicitous          D. weltering
B. anomalous           E. forswearing
C. querulous           F. dissipating","B,F",Two Blank,,,,6
