Passage,Correct answers,Type,Difficulty,Size,Questions,Flags,
"What is the correct pronunciation of Kiribati? In the Gilbertese language spoken by residents of the island nation, the letter combination ‑ti makes the ‑s sound; as a result, the country's name ____ pronounced ""Kiribas.""

A. are
B. have been
C. are being
D. is",D,,Easy,,,,"Singular verb ""is"" agrees with singular subject ""the country's name."""
"In a 2023 study, researchers documented a fascinating behavior in the aquatic plant Elodea densa. When exposed to low levels of light, the plant's ____ the cellular organs that generate energy from light‑ reshuffled to form a tightly packed, glass‑like surface ideal for collecting more light.

A. chloroplasts
B. chloroplasts;
C. chloroplasts,
D. chloroplasts",D,,Medium,,,,"Dash after ""chloroplasts"" pairs with dash after ""from light"" to set off the supplementary element."
"A study led by scientist Rebecca Kirby at the University of Wisconsin‑Madison found that black bears that eat human food before hibernation have increased levels of a rare carbon isotope, due to the higher ^13C levels in corn and cane sugar. Bears with these elevated levels were also found to have much shorter hibernation periods on average.

A. carbon‑13, (^13C)
B. carbon‑13 (^13C)
C. carbon‑13, (^13C)
D. carbon‑13 (^13C)",D,,Medium,,,,"Comma after (^13C) pairs with comma after ""isotope"" to set off the supplementary element."
"American abstract artist Richard ____ his installations to make passersby keenly aware of how one's movements are affected by the physical features of one's environment, assembles large‑scale steel plates into sculptures that dominate the outdoor spaces they occupy.

A. Serra is intending
B. Serra, intends
C. Serra, intending
D. Serra intends",C,,Hard,,,,"Comma after ""Serra"" pairs with comma after ""environment""; ""intending"" forms a supplementary phrase."
"Researchers Amit Kumar and Nicholas Epley investigated how ____ In a series of experiments conducted in 2022, they found that people performing small acts of kindness underestimated the positive effect their actions had on others.

A. do people perceive acts of kindness.
B. do people perceive acts of kindness?
C. people perceive acts of kindness?
D. people perceive acts of kindness.",D,,Easy,,,,Period punctuates a declarative sentence that asks an indirect question.
"The Limon technique, developed by Mexican‑born dancer and choreographer Jose Limon, is known for its emphasis on breath control and its interplay of weight and ____ dancers may explore, for example, the moment of mid‑air suspension at the top of a jump.

A. weightlessness
B. weightlessness which
C. weightlessness,
D. weightlessness;",D,,Hard,,,,Semicolon joins two main clauses.
"The haiku‑like poems of Tomas Transtromer, which present nature‑ and dream‑influenced images in crisp, spare language, have earned the Swedish poet praise from leading contemporary ____ them Nigerian American essayist and novelist Teju Cole, who has written that Transtromer's works ""contain a luminous simplicity.""

A. writers. Among
B. writers among
C. writers; among
D. writers, among",D,,Hard,,,,Comma marks boundary between main clause and supplementary phrase.
"Mathematician and meteorologist Edward Lorenz used the metaphor of the ""butterfly effect"" to explain how seemingly minor events can have major impacts on future weather. According to Lorenz's metaphor, the wind from a butterfly flapping in Brazil might eventually grow into a storm elsewhere across the globe.

A. its wings
B. its wings
C. it's wing's
D. it's wings",A,,Easy,,,,"Possessive determiner ""its"" and plural noun ""wings"" are correct."
"When a given industry‑ water and electricity are two well‑known examples‑ carries high infrastructural start‑up costs and other barriers that discourage competition, ____ of just one or two suppliers per municipality. Such industries are known as natural monopolies.

A. these often consist
B. they often consist
C. it often consists
D. this often consists",C,,Hard,,,,"Singular pronoun ""it"" agrees with singular antecedent ""industry."""
"In 2021, Mexican biologist Martha Lydia Macias‑Rubalcava led a review of the scientific literature related to endophytic fungi (i.e., fungi that live inside a host ____ researching 120 endophytic fungi‑produced compounds, she found that their phytotoxicity can make them viable alternatives to chemical herbicides for controlling weeds.

A. plant). By
B. plant), by
C. plant) and by
D. plant) by",A,,Hard,,,,Period marks boundary between two sentences.
"Bonnie Buratti of NASA's Jet Propulsion Laboratory ____ data about Saturn's rings collected by the Cassini spacecraft when she made an interesting discovery: the tiny moons embedded between and within Saturn's rings are shaped by the buildup of ring material on the moons' surfaces.

A. studies
B. has been studying
C. will study
D. was studying",D,,Medium,,,,"Past progressive ""was studying"" is consistent with other past-tense verbs."
"Roughly 300 nights a year, when the cold air descending from the Andes Mountains meets the warm air rising from Venezuela's coastal Lake Maracaibo, the result is a spectacular lightning storm, its strikes so bright, so localized, and so ____ that it has become known as ""Maracaibo's Lighthouse.""

A. dependable:
B. dependable;
C. dependable
D. dependable,",C,,Hard,,,,No punctuation before an integrated relative clause.
"Jamaican British artist Willard Wigan is known for his remarkable ____ so small that they are best viewed through a microscope, Wigan's sculptures are made from tiny natural materials, such as spiderweb strands.

A. microsculptures creations
B. microsculptures, creations
C. microsculptures. Creations
D. microsculptures and creations",C,,Hard,,,,Period marks boundary between two sentences.
"While one requires oxygen and one does ____ and anaerobic respiration are both forms of cellular respiration‑ that is, they are processes by which cells break down glucose to use as energy.

A. not aerobic
B. not. Aerobic
C. not, aerobic
D. not; aerobic",C,,Easy,,,,Comma links the dependent clause to the independent clause.
"In a recent analysis of lyrical trends in 350,000 songs, researchers cite increases in certain measures, such as the ratio of choruses to verses, as evidence music lyrics are becoming more repetitive. For instance, from 1970 to 2020, chorus‑to‑verse ratios trended similarly, with each genre's data indicating that relative to the number of unique verses, the number of repeated choruses in songs increased.

A. rocks and raps
B. rock's and rap's
C. rocks and rap's
D. rock and rap's",B,,Hard,,,,"Singular possessives ""rock's"" and ""rap's"" show ownership of the ratios."
"Supported by biochemical analyses of over 2,000 skeletons from the Middle Ages, ____

A. vegetables and grains were, a 2022 study found, the primary components of early medieval rulers' diets.
B. early medieval rulers' diets were found, in a 2022 study, to have primarily consisted of vegetables and grains.
C. the primary components of early medieval rulers' diets were vegetables and grains, according to a 2022 study.
D. findings from a 2022 study suggested that vegetables and grains were the primary components of early medieval rulers' diets.",D,,Hard,,,,"""findings"" is placed immediately after the modifying phrase."
"To serve local families during the Great Depression, innovative New York City librarian Pura Belpre offered storytelling in both English and Spanish, an uncommon ____ celebrated el Día de los Tres Reyes Magos, an important community holiday; and put on puppet shows dramatizing Puerto Rican folktales.

A. practice, at the time
B. practice at the time;
C. practice, at the time,
D. practice at the time,",B,,Hard,,,,Semicolon separates items in a complex series.
"Photosynthesis, the mechanism by which plants use sunlight to turn carbon dioxide and water into ____ is fueled in part by an enzyme called Photosystem II that harvests energy‑giving electrons from water molecules.

A. nutrients
B. nutrients and
C. nutrients,
D. nutrients",C,,Medium,,,,"Comma after ""nutrients"" pairs with comma after ""photosynthesis"" to set off the supplementary element."
"As a behavioral economist, Katy Milkman of the University of Pennsylvania recognizes that people sometimes make irrational economic decisions. Milkman's research can thus address anomalies that neoclassical economic ____ assume that people are consistently rational decision‑makers—cannot explain.

A. models—which
B. models, which
C. models which
D. models which—",A,,Hard,,,,Dashes set off the supplementary element.
"The rough frog is a species of amphibian native to Australia. Currently, the frog's range ____ parts of northern New South Wales and southeastern Queensland.

A. includes
B. included
C. will have included
D. had included",A,,Easy,,,,"Present tense ""includes"" agrees with ""currently."""
"Human‑made (synthetic) fibers used in clothes and many other consumer products are more durable than most natural plant ____ the manufacture of synthetic fibers requires toxic chemical solvents that can pollute air and water.

A. fibers,
B. fibers but
C. fibers
D. fibers, but",D,,Easy,,,,"Comma + ""but"" joins two main clauses."
"Entomologists Yash Sondhi and Samuel Fabian have tried to explain why moths fly erratically around light sources at night. Knowing that flying insects keep their backs pointed toward sunlight during the day, ____

A. the researchers theorize that moths, mistaking nighttime lights for the Sun, continually try to reorient their bodies while flying near such lights.
B. the researchers' theory is that moths mistake nighttime lights for the Sun, continually trying to reorient their bodies while flying near such lights.
C. moths mistake nighttime lights for the Sun and continually try to reorient their bodies while flying near such lights, the researchers theorize.
D. moths continually try to reorient their bodies while flying near nighttime lights, the researchers theorize, mistaking such lights for the Sun.",A,,Hard,,,,"""the researchers"" is placed immediately after the modifying phrase."
"After a spate of ilneses as a child, Wilma Rudolph was told she might never walk again. Defying all ods, Rudolph didn't just walk, ____ she the 1960 Summer Olympics in Rome, she won both the 100‑ and 200‑meter dashes and clinched first place for her team in the 4x100‑meter relay, becoming the first US woman to win three gold medals in a single Olympics.

A. ran‑fast‑during
B. ran‑fast during
C. ran‑fast, during
D. ran‑fast. During",D,,Hard,,,,Period marks boundary between two sentences.
"In her 1983 book The Managed Heart: Commercialization of Human Feeling, sociologist Arlie Russell Hochschild first explored at length her conception of a ""sociology of emotions""‑ the idea that the various cultural and ideological frameworks a person has internalized (class, gender, political affiliation, etc.) ____ each emotional reaction that person has within a situation.

A. underlies
B. is underlying
C. underlie
D. has been underlying",C,,Hard,,,,"Plural verb ""underline"" agrees with plural subject ""frameworks."""
"Each night in Gijon, Spain, a section of the city's marina is bathed in a soft green glow. The source of the glow is the Arbol de la Sidra, a large sculpture made up of 3,200 recycled glass bottles. A lamp inside the tree‑shaped structure ____ the green glass.

A. will be illuminating
B. illuminates
C. would illuminate
D. illuminated",B,,Easy,,,,"Present tense ""illuminates"" matches the habitual action described."
"Recent analysis of 32532 Thereu‑ an outer solar system object orbiting the Sun between Jupiter and Saturn‑ has determined its color to be gray, suggesting an icy composition. Such interpretations are ultimately ____ the object's gray coloration may be an incidental effect of radiation, solar wind, or collisions with other objects rather than evidence of its physical makeup.

A. speculative, though
B. speculative, though;
C. speculative, though
D. speculative, though,",B,,Hard,,,,"Comma before ""though"" and semicolon after it correctly join the clauses."
"Rabinal Achí is a precolonial Maya dance drama performed annually in Rabinal, a town in the Guatemalan highlands. Based on events that occurred when Rabinal was a city‑state ruled by a king, ____ had once been an ally of the king but was later captured while leading an invading force against him.

A. Rabinal Achí tells the story of K'iche' Achí, a military leader who
B. K'iche' Achí, the military leader in the story of Rabinal Achí,
C. the military leader whose story is told in Rabinal Achí, K'iche' Achí,
D. there was a military leader, K'iche' Achí, who in Rabinal Achí",A,,Hard,,,,"""Rabinal Achí"" must appear right after the modifier."
"During the American Civil War, Thomas Morris Chester braved the front lines as a war correspondent for the Philadelphia Press. Amplifying the voices and experiences of Black soldiers ____ of particular importance to Chester, who later became an activist and lawyer during the postwar Reconstruction period.

A. were
B. have been
C. are
D. was",D,,Hard,,,,"Singular verb ""was"" agrees with singular gerund subject ""amplifying."""
"In 1903, environmentalist John Muir guided President Theodore Roosevelt on a scenic, sprawling trip through California's Yosemite Valley. Upon returning from the three‑day excursion, Roosevelt ____ to conserve the nation's wilderness areas, a vow he upheld for his remaining six years in office.

A. is vowing
B. vowed
C. will vow
D. vows",B,,Easy,,,,"Past tense ""vowed"" matches the past-tense narration."
"To survive when water is scarce, embryos inside African turquoise killifish eggs ____ a dormant state known as diapause. In this state, embryonic development is paused for as long as two years—longer than the life span of an adult killifish.

A. enter
B. to enter
C. having entered
D. entering",A,,Easy,,,,"Finite verb ""enter"" is required for the main clause."
"In 1637, the price of tulips skyrocketed in Amsterdam, with single bulbs of rare varieties selling for up to the equivalent of $200,000 in today's US dollars. Some historians ____ that this ""tulip mania"" was the first historical instance of an asset bubble, which occurs when investors drive prices to highs not supported by actual demand.

A. claiming
B. claim
C. having claimed
D. to claim",B,,Easy,,,,"Finite verb ""claim"" is required for the main clause."
"Professional American football player Fred Cox invented one of the world's most popular toys. In the 1970s, he came up with the idea for the Nerf football, which ____ of the harder and heavier regulation football.

A. were a smaller, foam version
B. are smaller, foam versions
C. were smaller, foam versions
D. is a smaller, foam version",D,,Medium,,,,"Singular verb ""is"" and singular noun ""version"" agree with singular antecedent ""which"" referring to ""the Nerf football."""
"The Herfindahl‑Hirschman Index (HHI), a commonly used measure of competition between companies in a particular market, ranges from a score of zero to 10,000 points. Compared with that of a highly concentrated market‑ that is, a market controlled by very few companies‑ ____

A. a market that is less concentrated will have a much lower HHI score.
B. the HHI score of a less concentrated market will be much lower.
C. when a market is less concentrated, its HHI score will be much lower.
D. a less concentrated market will have an HHI score that is much lower.",B,,Hard,,,,"""the HHI score"" is placed immediately after the modifying phrase."
"According to the traditional RYB (red‑yellow‑blue) color model, yellow is a complementary color to purple. However, yellow ____ considered complementary to blue in modern color theory.

A. is
B. having been
C. to be
D. being",A,,Easy,,,,"Finite verb ""is"" is required for the main clause."
"Formed in 1967 to foster political and economic stability within the Asia‑Pacific region, the Association of Southeast Asian Nations was originally made up of five members: Thailand, the Philippines, Singapore, Malaysia, and Indonesia. By the end of the 1990s, the organization ____ its initial membership.

A. has doubled
B. had doubled
C. doubles
D. will double",B,,Easy,,,,"Past perfect ""had doubled"" indicates an action completed before a specific past time."
"For scientists to produce new iron nanoparticles of a specific size or strength, they must first be able to monitor reactions between oxygen and existing iron nanoparticles at a near‑atomic level of detail. Fortunately, chemistry ____ and his colleagues at Temple University recently developed a new approach that does just that.

A. professor Yugang Sun
B. professor Yugang Sun,
C. professor, Yugang Sun,
D. professor, Yugang Sun",A,,Hard,,,,No punctuation needed between a title and a proper noun.
"Atoms in a synchrotron, a type of circular particle accelerator, travel faster and faster until they ____ a desired energy level, at which point they are diverted to collide with a target, smashing the atoms.

A. will reach
B. reach
C. had reached
D. are reaching",B,,Easy,,,,"Present tense ""reach"" is consistent with the other present‑tense verbs."
"Led by Syrian American astronomer Shadia Habbal, the Solar Wind Sherpas are an intrepid team of scientists who travel the globe to study solar winds, the streams of particles emanating from the Sun that are only visible from certain locations during a total solar eclipse. When such an eclipse is imminent, the Sherpas pack up their telescopes and ____ ready.

A. get
B. had gotten
C. got
D. were getting",A,,Easy,,,,"Present tense ""get"" matches the other present‑tense verbs."
"In January 1776, Thomas Paine published Common Sense, an appeal for freedom from the British monarchy that famously helped ignite the desire for independence among the American colonists. After the colonies achieved their independence, Paine moved to Paris, where the provocative ____ would contribute to another revolution—the French Revolution.

A. authors political writings
B. author's political writings
C. author's political writing's
D. authors' political writings",B,,Medium,,,,"Singular possessive ""author's"" and plural noun ""writings"" are correct."
"Zydeco music originated in the French Creole community of southwest Louisiana. One instrument that gives zydeco its unique sound is the vest frottoir. The vest frottoir ____ a wearable washboard that is played by rubbing spoons or bottle openers against it.

A. have been
B. is
C. were
D. are",B,,Easy,,,,"Singular verb ""is"" agrees with singular subject ""vest frottoir."""
"Following her debut album release in 2002, Mexican singer‑songwriter Natalia Lafourcade quickly shot to fame. By 2023, she ____ one of the most celebrated musicians in Latin America, having released twelve albums and won seventeen Latin Grammy awards—more than any other female artist in history.

A. will become
B. becomes
C. will have become
D. had become",D,,Easy,,,,"Past perfect ""had become"" indicates a status achieved before 2023."
"According to linguist Martin Joos, speakers of the English language ____ five main registers‑ frozen, formal, consultative, casual, and intimate ‑ which they rotate between depending on the situation.

A. use
B. is using
C. uses
D. has used",A,,Easy,,,,"Plural verb ""use"" agrees with plural subject ""speakers."""
"In the list ""Adorable Things"" from Sei Shōnagon's Pillow Book, the author delights in baby sparrows, a face drawn on a melon, and a young courtier in ceremonial garb. So shrewd an observer is Shōnagon, a lady‑in‑waiting to Empress Teishi, that her book's musings on tenth‑century Japanese courtly life ____ readers a thousand years later.

A. fascinate
B. has fascinated
C. fascinates
D. is fascinating",A,,Hard,,,,"Plural verb ""fascinate"" agrees with plural subject ""musings."""
"By analyzing ice cores from Greenland and Antarctica, a research team at Sweden's Lund University discovered evidence of a solar storm that occurred 9,200 years ago. Scientists had previously thought the Sun to be in a relatively ""quiet"" phase at that ____ the Lund team's finding suggests otherwise.

A. time but
B. time, but
C. time,
D. time",B,,Easy,,,,"Comma + ""but"" joins two main clauses."
"Key‑value pairs are an important aspect of JavaScript Object Notation (JSON), an electronic file format for storing and transmitting data. Keys function as labels, while values contain the actual information. In a JSON file storing data about fire belly ____ instance, you could encounter a key such as ""species"" with the associated value of ""Cynops orientalis.""

A. news. For
B. news, for
C. news: for
D. news; for",B,,Medium,,,,"Comma after ""news"" pairs with comma after ""instance"" to set off the supplementary element."
"Emperor penguins don't waddle out of the ocean. They launch themselves at such a high speed that they travel up to two meters before landing. How ____ A layer of microbubbles on their plumage reduces friction as the penguins speed to the surface.

A. they are able to move so fast!
B. are they able to move so fast.
C. they are able to move so fast.
D. are they able to move so fast?",D,,Easy,,,,Question mark punctuates a direct interrogative sentence.
"Beatrix Potter is perhaps best known for writing and illustrating children's books such as The Tale of Peter Rabbit (1902), but she also dedicated herself to mycology, the study of ____ more than 350 paintings of the fungal species she observed in nature and submitting her research on spore germination to the Linnean Society of London.

A. fungi; producing
B. fungi. Producing
C. fungi producing
D. fungi, producing",D,,Medium,,,,Comma marks boundary between two supplementary phrases.
"Philosopher Peter Kivy was a leading figure in musical ____ evidenced by his belief that instead of evoking particular emotions, such as sadness or joy, compositions elicit a listener's emotional response to the structure and artistry of the music itself, Kivy's approach to the study of music was decidedly formalist.

A. aesthetics as
B. aesthetics and as
C. aesthetics, as
D. aesthetics. As",D,,Hard,,,,Period marks boundary between two sentences.
"Nowadays, tug‑of‑war is usually seen as an informal game one might play at a picnic or in gym class. Surprisingly, the Olympic committee once decided ____ tug‑of‑war as an official Olympic event! Nations competed in the event at the Olympic Games from 1900 to 1920.

A. included
B. including
C. include
D. to include",D,,Easy,,,,"To‑infinitive ""to include"" forms a subordinate clause indicating what was decided."
"Using natural debris, such as dried ____ such as plastic bags; and more traditional art supplies, such as tree glue, Ghanaian artist Ed Franklin Gavua creates his striking Yiiiiikakaii African masks, which he hopes can help viewers rethink how waste is used in their communities.

A. leaves, man‑made trash:
B. leaves; man‑made trash,
C. leaves, man‑made trash,
D. leaves; man‑made trash;",B,,Hard,,,,Semicolon separates items in a complex series.
"When they were first introduced to western Europe from Byzantium in the eleventh century, table forks were met with much resistance. The Bishop of Ostia, St. Peter Damian, condemned the eating utensils because he considered ____ dangerous and unnecessary luxury items.

A. them
B. this
C. that
D. it",A,,Easy,,,,"Plural pronoun ""them"" agrees with plural antecedent ""utensils."""
"Farouk El‑Baz, a geologist and space scientist, ____ part of the team that selected the lunar landing sites for the Apollo program during the 1960s and 1970s.

A. are
B. was
C. have been
D. were",B,,Easy,,,,"Singular verb ""was"" agrees with singular subject ""Farouk El‑Baz."""
"In the 1950s, novel audio technologies allowed the addition of another instrument to jazz and swing ____ relatively quiet instrument, its full range of sound was finally audible alongside the blaring brass instruments of the time, allowing flautists like Bennie Maupin and Bobbi Humphrey to perform with other jazz greats.

A. music, the flute, a
B. music. The flute, a
C. music; the flute, a
D. music: the flute. A",D,,Hard,,,,Colon introduces the instrument; period marks boundary between sentences.
"On March 23, 2021, a gust of wind wreaked havoc on global trade. Ever Given, an international shipping container vessel, became lodged in Egypt's Suez Canal, a major shipping route between Europe and Asia. The vessel took six days to ____ it's as heavy as two thousand blue whales when fully loaded.

A. dislodge in part due to its sheer size,
B. dislodge, in part due to its sheer size:
C. dislodge, in part due to its sheer size,
D. dislodge, in part, due to its sheer size",B,,Hard,,,,"Comma after ""dislodge"" sets off the supplementary phrase; colon introduces the following main clause."
"In the 1970s, Janaki Ammal, a prominent botanist, emerged as a powerful voice in India's environmental conservation movement. Her exhaustive chromosomal survey of plants in Silent Valley, a pristine tropical forest in Kerala, India, that is home to nearly 1,000 species of native flora (many of which are endangered), ____ instrumenta in the government's decision to preserve the forest.

A. are
B. were
C. have been
D. was",D,,Hard,,,,"Singular verb ""was"" agrees with singular subject ""survey."""
"Technologies such as microphones and inkjet printers are made using piezoelectric materials, which generate an internal electric field when pressure is applied to them. The toxic nature of some of these materials recently led a team from the University of Sheffield to investigate how ____

A. could their use be better regulated?
B. their use could be better regulated.
C. their use could be better regulated?
D. could their use be better regulated.",B,,Easy,,,,Period punctuates a declarative sentence with an indirect question.
"In addition to advocating for South America's independence in two political treatises, the Cartagena Manifesto and the Letter from Jamaica, Simon Bolivar personally led armies against the Spanish, liberating three South American territories‑ New Granada (present‑day Colombia and Panama), Venezuela, and Quito (present‑day ____ from colonial rule.

A. Ecuador,
B. Ecuador
C. Ecuador,
D. Ecuador",D,,Hard,,,,"Dash after ""Ecuador"" pairs with the earlier dash to set off the supplementary element."
"In a 2016 study, Eastern Washington University psychologist Amani El‑Alayli found that, among the study participants who experienced frisson (a physiological response akin to goosebumps or getting the chills) while listening to music, there was one personality trait that they scored particularly ____ openness to experience.

A. high. On
B. high on;
C. high on
D. high on:",D,,Hard,,,,Colon marks the boundary between the main clause and the supplementary phrase identifying the trait.
"Obsidian is a kind of volcanic glass formed when lava cools so quickly that the atoms inside it cannot arrange themselves in a crystalline structure. You ____ more about obsidian's structure, which is classified as amorphous, in a later chapter.

A. had learned
B. had been learning
C. will learn
D. have learned",C,,Easy,,,,"Future tense ""will learn"" matches ""in a later chapter."""
"The artistic talents of Barbara Chase‑Riboud, most known for her 1979 historical novel Sally Hemings and the conversation it inspired, ____ limited to the realm of prose: she first excelled in sculpture, where her affinity for bronze‑ a material she described as ""timeless"" due to its use across eras and cultures‑ became part of her artistic identity.

A. hasn't been
B. wasn't
C. isn't
D. aren't",D,,Hard,,,,"Plural verb ""aren't"" agrees with plural subject ""talents."""
"Emperor Ashoka ruled the Maurya Empire in South Asia from roughly 270 to 232 BCE. He is known for enforcing a moral code called the Law of Piety, which established the sanctity of animal ____ the just treatment of the elderly, and the abolition of the slave trade.

A. life
B. life;
C. life:
D. life,",D,,Easy,,,,Comma separates the first item in a series.
"On July 23, 1854, a clipper ship called the Flying Cloud entered San Francisco ____ left New York Harbor under the guidance of Captain Josiah Perkins Creasy and his wife, navigator Eleanor Creasy, a mere 89 days and 8 hours earlier, the celebrated ship set a record that would stand for 135 years.

A. Bay and having
B. Bay. Having
C. Bay, having
D. Bay having",B,,Hard,,,,Period marks boundary between two sentences.
"Public‑awareness campaigns about the need to reduce single‑use plastics can be successful, says researcher Kim Borg of Monash University in Australia, when these campaigns give consumers a choice: for example, Japan achieved a 40 percent reduction in plastic‑bag use after cashiers were instructed to ask customers whether ____ wanted a bag.

A. they
B. one
C. you
D. it",A,,Easy,,,,"Plural pronoun ""they"" agrees with plural antecedent ""customers."""
"When external forces are applied to common glass made from silicates, energy builds up around minuscule defects in the material, resulting in fractures. Recently, engineer Erkka Frankberg of Tampere University in Finland used the chemical ____ to make a glassy solid that can withstand higher strain than silicate glass can before fracturing.

A. compound, aluminum oxide
B. compound aluminum oxide,
C. compound, aluminum oxide,
D. compound aluminum oxide",D,,Hard,,,,No punctuation around a restrictive appositive.
"While light is known as one of the fastest‑moving substances, it slows down when passing through some types of matter. One such type of matter is a form of cooled, condensed gas called a Bose‑Einstein condensate ____ Dutch physicist Lene Hau famously used a BEC to slow a beam of light to a complete halt.

A. (BEC),
B. (BEC) and
C. (BEC);
D. (BEC)",C,,Medium,,,,Semicolon joins two main clauses.
"Recordings of electrical activity in the brain, ____ increased activity in brain areas associated with suppressing motor functions.

A. electrograms show that while responding to hypothetical match scenarios, the most highly skilled soccer players have
B. the most highly skilled soccer players responding to hypothetical match scenarios have electrograms that show
C. responses to hypothetical match scenarios show that the most highly skilled soccer players have electrograms with
D. hypothetical match scenario responses show that the most highly skilled soccer players captured in electrograms have",A,,Hard,,,,"""electrograms"" is placed immediately after the modifying phrase."
"In 1929, Edwin Herbert Land invented a polarizing filter that was featured in a number of products, from sunglasses to 3D movies. A decade later, Land ____ his technology to invent the world's first instant camera, the Polaroid Land camera.

A. used
B. to have used
C. to use
D. using",A,,Easy,,,,"Finite past‑tense verb ""used"" is required for the main clause."
"Water in the North Atlantic Ocean is pushed eastward by powerful winds, but the rotation of Earth and interference from nearby landmasses together cause ____ to swirl into a massive, churning whirlpool—also called the North Atlantic Gyre—that spins clockwise.

A. these
B. those
C. them
D. it",D,,Medium,,,,"Singular pronoun ""it"" agrees with singular antecedent ""water."""
"The soundtrack to Mira Nair's 1991 film Mississippi Masala expresively captures the clashing of cultures that happens when (a young Indian woman from Uganda and a young African American man from Mississippi) meet. Featured throughout the film are songs from Uganda's Afrigo Band, the Indian composer L. Subramaniam, and the Mississippi blues musician Sam Chatmon.

A. it's two protagonists
B. its two protagonist's
C. it's two protagonist's
D. its two protagonists",D,,Medium,,,,"Possessive ""its"" and plural noun ""protagonists"" are correct."
"In 1986, conceptual artist Sophie Calle asked twenty‑three people, all of whom had been born without sight, to describe ""their image of beauty"" in rich detail. Calle paired excerpts of these conversations with photographs—both of interviewees and the items they ____ to powerful effect in her exhibition The Blind.

A. described, from hair to grass to sculptures
B. described, from hair to grass to sculptures—
C. described—from hair to grass to sculptures,
D. described: from hair to grass to sculptures",B,,Hard,,,,"Comma after ""described"" separates two supplementary elements; dash after ""sculptures"" pairs with the earlier dash."
"Midway through her 1968 jazz album A Monastic Trio, Alice Coltrane switches instruments, swapping the piano for the harp. With the same fluid style that Coltrane was famous for on piano, she ____ her fingers across the harp strings and creates a radiant sound.

A. sweep
B. are sweeping
C. were sweeping
D. sweeps",D,,Easy,,,,"Singular verb ""sweeps"" agrees with singular subject ""she."""
