Passage,Correct Answers,,,,Questions
"Q.97 Directions for questions 96 to 98: In each of the following questions, an idiom or phrase is underlined. Choose the alternative that best expresses its meaning.
The manager was accused of riding roughshod over the workers’ rights.
a To treat them with disdain and show no consideration
b To guide them with kindness and patience
c To encourage them in difficult times
d To avoid interfering in their affairs",a,,,,
"Q.98 Directions for questions 96 to 98: In each of the following questions, an idiom or phrase is underlined. Choose the alternative that best expresses its meaning.
With negotiations failing, the two companies were ready to go to the mattresses.
a To take rest after a long struggle
b To live in poverty and hardship
c To prepare for a prolonged conflict or battle
d To conceal one’s true feelings",c,,,,
"Q.99 Directions for questions 99 to 102 : In the following questions, some parts of the sentences have errors and some are correct. Find out which part of a sentence has an error and indicate the appropriate letter (a, b, c). If a sentence is free from errors, mark (d) in the Answer Sheet.
The world’s wind and solar farms have generated more electricity/ (a) than coal plants for the first time this year, / (b) marking a turning point to the global power system, according the research. / (c) No Error / (d)
a (a)
b (b)
c (c)
d (d)",c,,,,
"Q.100 Directions for questions 99 to 102 : In the following questions, some parts of the sentences have errors and some are correct. Find out which part of a sentence has an error and indicate the appropriate letter (a, b, c). If a sentence is free from errors, mark (d) in the Answer Sheet.
The urgent threats facing the free press/ (a) today will be unimaginable/ (b) for most of the Guardian’s 204-year history./ (c) No Error / (d)
a (a)
b (b)
c (c)
d (d)",b,,,,
"Q.101 Directions for questions 99 to 102 : In the following questions, some parts of the sentences have errors and some are correct. Find out which part of a sentence has an error and indicate the appropriate letter (a, b, c). If a sentence is free from errors, mark (d) in the Answer Sheet.
Europe is today increasingly/ (a) ill at ease to Donald Trump’s/ (b) America First nationalism./ (c) No Error / (d)
a (a)
b (b)
c (c)
d (d)",b,,,,
"Q.102 Directions for questions 99 to 102 : In the following questions, some parts of the sentences have errors and some are correct. Find out which part of a sentence has an error and indicate the appropriate letter (a, b, c). If a sentence is free from errors, mark (d) in the Answer Sheet.
Comet’s internal AI could until recently be hijacked by malicious links,/ (a) which caused the browser to siphon personal information/ (b) from connected services like Gmail and send it to mock attackers./ (c) No Error / (d)
a (a)
b (b)
c (c)
d (d)",d,,,,
"Q.103 Choose the correct synonym for the word:

OBDURATE
a Stubborn
b Indifferent
c Compassionate
d Negligent",a,,,,
"Q.104 Choose the word opposite in meaning to the given word.

LUGUBRIOUS
a Solemn
b Pensive
c Jovial
d Forlorn",c,,,,
"Q.105 Choose the word opposite in meaning to the given word:

MENDACIOUS
a Deceptive
b Truthful
c Secretive
d Shrewd",b,,,,
"Q.106 Directions for questions 106 to 109: Arrange the following sentences to create a coherent paragraph:

a. Federal restrictions on trade between the provinces were removed soon after he took office, and negotiations between the provinces themselves are ongoing.
b. “It’s worth almost a quarter of a trillion dollars to the Canadian economy,” he says.
c. Mr Carney talks of building “One Canadian market”, doing so would offset the economic damage caused by the worst-case scenario in which the United States suddenly applied its average tariff to all Canadian exports, 85% of which are currently tariff-free.
d. Internal trade liberalisation has already begun.
a bacd
b dacb
c acdb
d bdac",a,,,,
"Q.107 Directions for questions 106 to 109: Arrange the following sentences to create a coherent paragraph:

a.That left them vulnerable when the economy turned.
b. Around the turn of the millennium, fashion houses began wooing “aspirational” shoppers (ie, the rich but not filthy rich).
c. The risk is that luxury-travel firms make the same mistakes as luxury-goods firms did in the past.
d. Now luxury-travel firms are at a similar juncture.
a bacd
b dacb
c acdb
d cbad",d,,,,
"Q.108 Directions for questions 106 to 109: Arrange the following sentences to create a coherent paragraph:

a.When Pixar, an animation studio, road-tests new films internally, it convenes a brains trust of people, most of them very experienced, whose job is to give feedback to the director.
b.The company is explicit that this group has no authority of its own and that it is up to the director whether to take their advice.
c.President John F. Kennedy told his advisers during the Cuban missile crisis in 1962 that he would not be part of the team day to day because his presence in the room meant that they were less prepared to challenge each other.
d.Some bosses and organisations are more aware than others of the impact that a grand title can have.
a dacb
b cadb
c dcab
d bacd",a,,,,
"Q.109 Directions for questions 106 to 109: Arrange the following sentences to create a coherent paragraph:

a.In a way, Hamas is imitating Israel’s strategy from January, when the latter agreed to the first phase of a three-stage ceasefire but refused to join talks on the other two.
b. He eventually accepted Israel’s arguments for returning to war.
c.Mr Trump soon grew angry about the emaciated state of some Israeli hostages and the way Hamas paraded them before their release.
d.This time, Hamas has preempted Israel by engaging with Mr Trump through its Qatari patrons.
a acbd
b dcba
c adcb
d bacd",c,,,,
"Q.110 Freedom reveals itself in the willingness both to commit and to assume responsibility for our commitments. Because commitment requires taking an exclusionary position on certain values or norms, and because making such choices is only available in freedom, choosing to commit oneself to the right values or norms is the best expression of our freedom. The right values or norms will be those that, in choosing to commit ourselves to them, make us responsible for the wellbeing of our neighbors, for the future of our community, or for the health of our circumstance.

Each of the following is an assumption implicit in the passage above, EXCEPT:
a There exist objectively ‘right’ values or norms.
b Individual freedom is connected to the wellbeing of others.
c Genuine freedom is central to moral or ethical choices.
d Freedom inherently involves responsibility.",c,,,,
"Q.111 Directions: A statement is followed by two arguments. Read the arguments and decide whether the arguments are strong or weak.

Statement: Should there be a common entrance examination for all undergraduate courses in the country?
Argument I: Yes, it will ensure uniformity in education and make the system fairer and more efficient.
Argument II: No, the present system has been followed for many decades.
Mark your answers following the code below:
a If only I is strong
b If only II is strong
c If both are strong
d If neither is strong",a,,,,
"Q.112 Directions for questions 112 to 114: Pick out the word which means the same as the group of words given.

Extremely delicate and light quality that feels out of this world.
a Substantial
b Mystical
c Celestial
d Ethereal",d,,,,
"Q.113 Directions for questions 112 to 114: Pick out the word which means the same as the group of words given.

A violent or forceful flow of liquid
a flotsam
b trickle
c torrent
d effluence",c,,,,
"Q.114 Directions for questions 112 to 114: Pick out the word which means the same as the group of words given.

A government, especially a military one, that has taken power in a country by force and not by election:
a junta
b rebellion
c revolution
d cabal",a,,,,
"Q.115 Directions for questions 115 to 116: Each question lists four words. Choose the option that does not belong with the others based on meaning/usage. Consider sense, connotation, and semantic field; do not rely on word length or spelling.
a meticulous
b diligent
c industrious
d impulsive",d,,,,
"Q.116 Directions for questions 115 to 116: Each question lists four words. Choose the option that does not belong with the others based on meaning/usage. Consider sense, connotation, and semantic field; do not rely on word length or spelling.
a innovate
b transform
c revolutionize
d stagnate",d,,,,
"Q.117 Walking is a natural activity that requires little in the way of money and gives enjoyment without a competitive element. The walking season never ends; indeed, each month brings its own character and invites you to repeat a walk at different times of the year. It is ideal for families, who do not need to join a club in order to do it. Walking and close contact with the real, living world are essential parts of growing up, especially in the television age.

What can be concluded from the above paragraph ?
a Walking is a competitor’s sport where people can compete against each other in order to win a prize.
b Walking is a spectator’s sport where people can watch others compete and gamble on the outcome.
c Walking is not a sport as it is a natural activity that people can do to better their lifestyle and health.
d Walking is not a sport rather a way of living as it helps to reduce pollution by lessening the dependence on cars.",c,,,,
"Q.118 Sales taxes affect poor people more than wealthy people. All consumer goods are taxed at a fixed rate of the sales price. So poor people pay a larger proportion of their income in sales taxes than rich people do.

Which of the following can be inferred from the passage?
a Poor people pay taxes more honestly than rich people do
b Poor people form a larger percentage of taxpayers than rich people
c Wealthy people pay a larger amount of sales tax than poor people
d Poor people spend a greater proportion of their income on consumer goods than rich people do.",d,,,,
"Q.119 Directions for questions 119-120: Five jumbled-up sentences, related to a topic, are given below. Four of them can be put together to form a coherent paragraph. Identify the odd one out and key in the number of the sentence as your answer.

a) The figures show the growing global impact of cyberattacks, often in the form of ransomware, which has recently caused havoc in the United States when the Darkside group targeted a pipeline network causing a fear of shortages.
b) Better technology enables some security firms to trace the crypto-currency that companies pay to ransomware criminals as they move it around different accounts and crypto-currencies.
c) Significant cyberattacks attacks against critical targets in Europe have doubled in the past year, according to new EU figures obtained by CNN
d) The European Union Agency for Cybersecurity, ENISA, told CNN that malicious attacks against ‘critical sectors’ more than doubled this year before.
e) The agency also reported a 47% rise in attacks on hospitals and health care networks in the same period, as the same criminal networks sought to cash in on the most vital services.
a (a)
b (b)
c (c)
d (d)",b,,,,
"Q.120 Directions for questions 119-120: Five jumbled-up sentences, related to a topic, are given below. Four of them can be put together to form a coherent paragraph. Identify the odd one out and key in the number of the sentence as your answer.

a) Project managers are expected to successfully bring their projects to fruition while keeping a tight rein on budgets and schedules.
b) Training should be conducted to impart technical knowledge to the project managers.
c) To fulfil the requirements of time, cost, and quality, a project manager needs to acquire a set of skills to help him to manage the project and solve problems during its implementation.
d) The project manager is truly the heart and soul of a project.
e) These skills can be divided into two categories, which are hard skills and soft skills.
a (a)
b (b)
c (c)
d (d)",,,,,
