Passage,Correct Answers,,,,Questions
"Q 65. Directions for questions 65 to 69: In each of the following sentences, the incorrect part of the sentence is underlined. Choose an alternative from the four given options so that the sentence is rendered correct.
The solar system’s planets have orbits that is roughly circular, and zooming out a hundred-millionfold reveals even larger structures.
1) is roughly circle
2) are roughly circular
3) are roughly circle
4) is roughly circled",2,,,,
"Q 66. The Milky Way is a flattened disk, but zoom out by a further factor of 1,000 to see even larger cosmic structures.
1) zooming out further by the factor of 1,000
2) zooming out by a further factor of 1,000
3) zoom out by further factor of 1,000
4) zooming out with a factor further of 1,000",2,,,,
"Q 67. The arrangement may look haphazard, but it’s order in its own way, forming part of a larger structure.
1) it orders in its own way
2) it’s ordering in its own way
3) it’s ordered in its own way
4) it’s in order on its own way",3,,,,
"Q 68. This structure started forming at the Big Bang, after which slightly density variations amplified over time.
1) slightly variation in density amplified
2) slight density variations amplified
3) slightly density variation were amplified
4) slight density variations were amplify",2,,,,
"Q 69. It’s still evolving today, with a fractal geometry characterise by branching flows rather than orbits.
1) characterises by branching flows
2) characterised by branching flows
3) characterised through branching flows
4) characterising branching flows",2,,,,
"Q 70. Directions for questions 70 to 73: Each of the paragraphs given below has a sentence missing which is indicated by a blank. From the choices given below each paragraph, choose the sentence that is most logically appropriate to complete the paragraph.
Football fans will be familiar with the manager musical chairs, but fashion has been strangely similar over the last year. Since mid-2024 there have been 17 new designers appointed to head up houses including Gucci and Dior. But, in an industry fuelled by womenswear, just four of these appointments have been women. ______________________________.
1) Of the top 30 luxury brands in the Vogue Business Index, a mere five creative directors are women.
2) At Kering, the luxury conglomerate that owns Balenciaga and Valentino, there is just one: Louise Trotter at Bottega Veneta.
3) At LVMH, the fashion behemoth that counts Loewe and Dior among its brands, again, just one label is helmed by a woman – Sarah Burton at Givenchy.
4) And there are other depressing statistics.",4,,,,
"Q 71. Things had looked particularly bleak for the 45-year-old Williams early on as she struggled to keep the ball in court, quickly falling down two breaks at 1-4 in the opening set. At 22, Bouzas Maneiro has been on the rise in recent months and her ranking of 51 belies a run of form that includes a fourth round at Wimbledon followed by a quarter-final in Montreal last week. __________.
1) The Spaniard showed her quality by remaining solid from the baseline, maintaining consistent depth, offering up few errors and looking for opportunities to redirect Williams’ pace.
2) Williams gradually found her rhythm and fought hard, retrieving both breaks as she dragged herself level in the opening set.
3) She produced her best stretch of tennis in the second set, using her forehand to bully the Spaniard from the baseline and demonstrating the enduring quality she possesses with her destructive first serve to lead 4-3.
4) In the final stages of both sets, however, Bouzas Maneiro’s shot tolerance, defence and composure under pressure determined the match.",1,,,,
"Q 72. Vladimir Sorokin, however, is alive; he is quite alive, and when I asked him how and why (along with a clutch of other questions even more sincere), he obliged me with answers that contained all the intelligence and humor I expected, but also with a startling and I’d even say troubling tenderness and grace. Perhaps I’d missed this in what I’d read of his two-dozen-or-so-books, or perhaps this is new—a new element that in complete contradistinction to the extraterrestrial Ice that falls to the Siberian earth in his Ice trilogy is loving, positive, constructive. ___________________.
1) I’m going to be frank here—I don’t know what a Russian writer is today.
2) The simplest answer would be someone who writes in Russian.
3) I should also say, speaking in these optimistic terms is novel for me.
4) But the last thing I want is to consider myself an emigrant, as Nabokov did.",3,,,,
"Q 73. The internet, as everyone knows, was made for cat videos. With social media, it has branched out. Pictures and videos of all sorts of animals regularly go viral these days. A baby turtle wiggles and grins as its belly is scratched with a toothbrush, a polar bear delicately pets and cuddles a husky, a hamster freezes and flops on its back when its owner shoots finger guns. _____________.
1) But people also connect with the apparent joy of a turtle getting its belly rubbed, or the apparent friendship of bear and dog together, and the apparent playfulness of the hamster.
2) The animals in these pictures and videos are downright relatable.
3) Part of the reason they go viral is simply that animals are cute.
4) The feeling of kinship and understanding that comes with this is a powerful and wonderful feeling.",3,,,,
"Q 74. Sworn enemies for decades, the two went to war twice over the ________ Nagorno-Karabakh region, which Azerbaijan recaptured from Armenian forces in a ________ 2023 offensive, sparking the ________ of more than 100,000 ethnic Armenians.
1) Contested, sudden, migration
2) Disputed, lightning, exodus
3) Controversial, rapid, movement
4) Debated, swift, evacuation",2,,,,
"Q 75. The Indian prime minister, Narendra Modi, has said he is ready to “pay a very heavy price” for resisting US attempts to _______ the country’s trade policies, as India took a _______ position in the wake of Trump’s _______ export tariffs.
1) Influence, firm, harsh
2) Dictate, defiant, punitive
3) Control, resistant, severe
4) Direct, strong-willed, excessive",2,,,,
"Q 76. The government _______ that the content of the books “would deeply impact the _______ of youth by promoting a culture of grievance, _______ and terrorist heroism”.
1) Asserted, mentality, violence
2) Alleged, psyche, victimhood
3) Claimed, mind, aggression
4) Stated, psychology, rebellion",2,,,,
"Q 77. A symbol of strength, the Barbary lion was almost _______ by humans. Many were killed by _______ in Roman times, while overhunting and the loss of habitat contributed to their _______ near extinction.
1) Eliminated, fighters, eventual
2) Wiped out, gladiators, later
3) Destroyed, warriors, subsequent
4) Eradicated, soldiers, ultimate",2,,,,
"Q 78. This is a wonderful place to see these highly intelligent, beautiful, but now critically __________ primates in a __________ environment, before they are __________ into their natural environment.
1) Threatened, controlled, returned
2) Endangered, semi-wild, reintroduced
3) At-risk, partial, released
4) Imperilled, managed, restored",2,,,,
"Q 79. I prefer __________ workouts because I’m naturally lazy and __________ well to authority. No matter the __________, offensively attractive fitness instructors wield numbers as weapons to torment and torture me.
1) Group-based, react, setting
2) Class-based, respond, modality
3) Team-oriented, adapt, routine
4) Session-led, obey, format",2,,,,
"Q 86. Directions for questions 86-90: Arrange the sentence in the proper sequence to from a coherent paragraph.

1. Since then, drifting has evolved into a competitive sport, with drivers judged on various criteria.
2. The technique began over 30 years ago as a racing strategy that gained popularity in Japan.
3. This creates an angle between the car's direction of travel and the direction the wheels are facing.
4. A car is considered ""drifting"" when its front wheels point in the opposite direction of the turn.
5. Drifting is a motorsport where drivers intentionally oversteer, causing their cars to slide sideways through turns.",54231,,,,
"Q 87. Directions for questions 86-90: Arrange the sentence in the proper sequence to from a coherent paragraph.

1. Over the past few weeks, Trump negotiated trade frameworks with the EU, Japan, South Korea, Indonesia, and the Philippines.
2. Trump set a Friday deadline after his previous “Liberation Day” tariffs in April caused a stock market panic.
3. His high tariff rates raised concerns about a recession, leading Trump to impose a 90-day negotiating period.
4. On Thursday, he claimed agreements with other countries but declined to name them.
5. When he failed to secure enough trade deals, he extended the timeline and sent letters to world leaders listing rates, resulting in hasty agreements.",23514,,,,
"Q 88. Directions for questions 86-90: Arrange the sentence in the proper sequence to from a coherent paragraph.

1. It is a work that, in equal parts, beguiles us, thrills us, frightens us, and gives us hope in human resiliency.
2. This makes it perfect for the biographical treatment that Michael Benson lavishes upon it in his new book.
3. Since its release fifty years ago, the film has felt like an entity unto itself, alive with all the possibilities of cinema.
4. By any yardstick, Stanley Kubrick’s 2001: A Space Odyssey is one of the towering achievements of modern cinema.
5. Benson, driven by his love for the film, shows unwavering dedication in his research, providing the bulk of the book’s substance.",43125,,,,
"Q 89. Directions for questions 86-90: Arrange the sentence in the proper sequence to from a coherent paragraph.

1. Wedged between Israel and Egypt, the tiny territory was never self-sufficient.
2. The economy withered.
3. The UN provided cash assistance, ran clinics offering 3.5m consultations annually, and operated schools educating around 300,000 children.
4. Half of the workforce in the strip was unemployed and more than 60% of the population relied on some form of foreign aid to survive.
5. Its neighbours imposed an embargo after Hamas, a militant group, took power in 2007.",15243,,,,
"Q 90. Directions for questions 86-90: Arrange the sentence in the proper sequence to from a coherent paragraph.

1. It also involves redefining how human and machine roles evolve collaboratively.
2. We are building state-of-the-art AI at the edge, but the core, the institutional heart of our economy and governance, remains rooted in legacy systems.
3. While India invests heavily in GPUs and large language models, much of our public and private sector still operates on manual workflows, top-down communications, and disjointed knowledge systems.
4. To be AI-native is not merely adopting AI; it is redesigning how decisions are made, how knowledge is shared and remembered, and how intelligence is embedded into systems.
5. This is the real gap: not between having or lacking AI tools, but between using AI superficially and thinking with AI natively.",23415,,,,
