Passage,Correct answers,Type,Difficulty,Size,Questions,Flags
"Exercise - 2(a) Q24. A writer gets a fixed amount for his book apart from the royalty he gets per book sold. He gets 46000 and 66000 for 2000 and 3000 books sold respectively. Find his income per book when 6000 books are sold (in ₹).

(No options provided in PDF)",21,,,,,
"Exercise - 2(a) Q25. 'A' varies directly as the sum of two quantities 'B' and 'C'. 'B' in turn varies directly as 'x' and 'C' varies inversely as 'x'. When x = 1 or 2, A = 3. Find the value of A when x = 4.

(No options provided in PDF)",4.5,,,,,
"Exercise - 2(a) Q26. A garrison of 900 soldiers had food-stock sufficient for 30 days when the rate of consumption is 2.5kg/day/soldier. After some days of consumption at that rate, 300 soldiers were transferred to another garrison and the balance food lasted for 25 days for the remaining soldiers. If the rate of consumption of the remaining soldiers was 3.0kg/day/soldier, after how many days from the start, were the soldiers transferred?

(No options provided in PDF)",10,,,,,
"Exercise - 2(a) Q27. The speed of a locomotive without any wagons attached to it is 40 kmph. It diminishes by a quantity which is proportional to the cube root of the number of wagons attached. If the speed of the locomotive is 34 kmph when 27 wagons are attached, what is the maximum number of wagons that can be attached if the condition is that the speed should not fall below 30 kmph?

(A) 64
(B) 125
(C) 216
(D) 343",A,,,,,
"Exercise - 2(a) Q28. A precious stone worth 10872 fell and broke into three pieces, the weights of which are proportional to 1:2:3. The value of each stone is directly proportional to the square of its weight. Find the loss in the value caused by the breakage.

(A) 3624
(B) 4228
(C) 6644
(D) 7510",C,,,,,
"Exercise - 2(a) Q29. The distance (in meters) to which a boy can throw a stone is inversely proportional to its weight (in kg). He breaks the stone into 3 pieces whose weights (in kg) are in the ratio 1:3:2. He then throws the stones one by one. The sum of the distances they cover is 22 meters. To what distance can he throw the unbroken stone? (in m)

(No options provided in PDF)",2,,,,,
"Exercise - 2(a) Q30. The amount collected per month from a consumer of electrical power consists of two parts - a fixed charge for providing the service and a variable charge which is directly proportional to the number of units of power consumed. An amount of 700 is collected from the consumer when he consumed 50 units in a month. It is also noticed that when the consumption increases from 100 units per month to 200 units per month, the bill amount increases to 5/4 times that of the former. How much is the fixed charge per month?

(A) 600
(B) 350
(C) 500
(D) 400",A,,,,,
"Exercise - 2(b) Q1. If a+b-c : b+c-a : a+c-b = 5:6:7, then find a:b:c.

(A) 12:13:11
(B) 12:11:13
(C) 13:12:11
(D) 13:11:12",B,,,,,
"Exercise - 2(b) Q2. Which of the following represents a possible value of p:q satisfying (20p² - 40pq)/(pq + 4q²) = 20?

(A) 3:1
(B) 1:4
(C) 4:1
(D) 5:1",C,,,,,
"Exercise - 2(b) Q3. If a:b = 3:4 and c:d = 2:3, then find (a³c² + b³d²)/(ab² + a²bc)

(A) 19/3
(B) 19/4
(C) 19/9
(D) 19/18",D,,,,,
"Exercise - 2(b) Q4. Ajay and Vijay wrote a test. The sum of Ajay's score and twice Vijay's score is 310. The sum of Vijay's score and twice Ajay's score is 290. Find the ratio of the scores of Ajay and Vijay.

(A) 9:11
(B) 13:17
(C) 11:19
(D) 7:13",A,,,,,
"Exercise - 2(b) Q5. Ninety three is divided into two parts such that three times the first part and twice the second part are in the ratio 25:4. Find the first part.

(No options provided in PDF)",75,,,,,
"Exercise - 2(b) Q6. If three is subtracted from the numerator and five is added to the denominator of a fraction, the new fraction formed is 1/2. If two is added to the numerator of the initial fraction, the ratio of the new numerator to the denominator becomes 1:1. Find the original fraction.

(A) 11/13
(B) 18/23
(C) 13/15
(D) 13/11",C,,,,,
"Exercise - 2(b) Q7. The ratio of the number of students in classes A, B and C is 3:7:8. If 10 students leave C and join B, the ratio of the number of students in B and C would be reversed. Find the total number of students in the classes A, B and C.

(No options provided in PDF)",180,,,,,
"Exercise - 2(b) Q8. Ajay distributed a total of 60 sweets among his sons Ram, Shyam and Tarun. For every five sweets received by Ram, Shyam received four sweets. For every two sweets received by Shyam, Tarun received three sweets. Find the number of sweets received by Tarun.

(No options provided in PDF)",24,,,,,
"Exercise - 2(b) Q9. Divide 66 into three parts such that the sum of the first two parts equals the third part and the second part is three less than twice the first part. What is the ratio of the parts as arranged in the ascending order?

(A) 14:17:19
(B) 5:9:11
(C) 11:7:4
(D) 4:7:11",D,,,,,
"Exercise - 2(b) Q10. A person has with him a certain number of weighing stones of 100gm, 500gm and 1kg in the ratio of 3:5:1. If a maximum of 5kg can be measured using weighing stones of 500gm alone, then what is the number of 100gm stones he has?

(A) 6
(B) 3
(C) 9
(D) 5",A,,,,,
"Exercise - 2(b) Q11. In a class, the ratio of the number of boys and girls is 1:2. Among the boys, one-third are day scholars and one-fourth of these day scholars travel to school by bus. Among the girls, two-thirds are day scholars and half of these day scholars travel to school by bus. What part of the students in the class are day scholars travelling to school by bus?

(A) 1/3
(B) 1/5
(C) 1/4
(D) 2/5",C,,,,,
"Exercise - 2(b) Q12. In a bag, there are balls of three colours - white, black and green. The ratio of the number of white and black balls is 3:4. The ratio of the number of black and green balls is 3:5. Which of the following can be a possible value of the total number of white and green balls in the bag?

(A) 42
(B) 32
(C) 58
(D) 41",C,,,,,
"Exercise - 2(b) Q13. Amar, Bhavan and Chetan have some coins with them. The total number of coins with Bhavan and Chetan and those with Amar and Chetan are in the ratio 4:5. The total number of coins with Bhavan and Chetan and those with Amar and Bhavan are in the ratio 4:3. Which of the following is the ratio of the number of coins with Bhavan and Chetan?

(A) 7:4
(B) 3:2
(C) 7:5
(D) 1:3",B,,,,,
"Exercise - 2(b) Q14. The ratio of the prices of tea, last year and this year is 5:6. The ratio of the prices of coffee last year and this year is 7:8. The sum of prices of a kg of tea and a kg of coffee this year is 48. Find the price of tea (in ₹) last year if it was 20% of the price of coffee last year.

(No options provided in PDF)",20,,,,,
"Exercise - 2(b) Q15. 117 was supposed to be divided among Rohan, Sohan and Mohan in the ratio 2:3:4. By mistake, it was divided in the ratio 1/2 : 1/3 : 1/4. Find the loss/gain of Rohan due to his mistake (in ₹).

(A) gain, 26
(B) loss, 26
(C) gain, 28
(D) loss, 28",A,,,,,
"Exercise - 2(b) Q16. Five vessels have equal capacities. Each vessel contains some milk. The ratio of the quantities of milk in these vessels is 3:4:5:6:7. The total quantity of milk is three-fifth of the combined capacity of the vessels. How many vessels contain at least half milk?

(No options provided in PDF)",3,,,,,
"Exercise - 2(b) Q17. The monthly incomes of Ashok and Bala be 3:4. The ratio of the expenditures of Ashok and Bala is 4:5. Which of the following cannot be the ratio of the savings of Ashok and Bala?

(A) 2:3
(B) 4:5
(C) 8:11
(D) 5:7",B,,,,,
"Exercise - 2(b) Q18. Manoj and Shiva, who are colleagues in an office, have their monthly savings in the ratio of 2:3. Manoj spends two-thirds of his income every month. If the ratio of their monthly incomes is 3:4, what is the ratio of their expenditures?

(A) 3:2
(B) 4:5
(C) 4:3
(D) 5:3",B,,,,,
"Exercise - 2(b) Q19. In a three digit number, the units digit is the sum of the other two digits and it exceeds the tens digit by as much as the latter exceeds the hundreds digit. How many such three digit numbers exist?

(A) 1
(B) 2
(C) 3
(D) 4",C,,,,,
"Exercise - 2(b) Q20. The sum of the present ages of a mother and her daughter is 60 years. When the mother attains her husband's present age, the ratio of her husband's age and her daughter's age would be 2:1. Find the present age of the daughter. (in years)

(No options provided in PDF)",20,,,,,
"Exercise - 2(b) Q21. A person had two plots of land. In each plot, he cultivated maize and barley. The ratio of the area under maize cultivation and barley cultivation in the larger plot is 8:9. The ratio of the total areas under maize cultivation and barley cultivation in the two plots together is 29:33. The ratio of the areas under maize cultivation and barley cultivation in the smaller plot is 13:15. The ratio of the area under maize cultivation in the larger plot and that under barley cultivation in the smaller plot is

(A) 8:15
(B) 16:15
(C) 15:16
(D) 15:8",B,,,,,
"Exercise - 2(b) Q22. A test of 60 minutes contains questions on Mathematics and English only. The time taken to solve a Mathematics question is twice the time taken to answer an English question and the ratio of time taken to solve all Mathematics questions to time taken to answer all English questions is 8/7. What is the ratio of the number of English questions to that of Mathematics?

(A) 11/7
(B) 7/4
(C) 9/4
(D) 7/5",B,,,,,
"Exercise - 2(b) Q23. A test of 60 minutes contains questions on Mathematics and English only. The time taken to solve a Mathematics question is twice the time taken to answer an English question and the ratio of time taken to solve all Mathematics questions to time taken to answer all English questions is 8/7. If the total number of questions is 22, how many English questions can be answered in 18 minutes?

(A) 8
(B) 10
(C) 11
(D) 9",D,,,,,
"Exercise - 2(b) Q24. If (a² + c²)/(a + c) = (b² + c²)/(b + c) = k and a ≠ b, which of the following is equal to k?

(A) a + c
(B) b + c
(C) a + b
(D) a - c",C,,,,,
"Exercise - 2(b) Q25. If (p + q)/r = (q + r)/p = (p + r)/q = k, find the sum of all the possible values of k.

(A) 1
(B) 2
(C) 0
(D) 3",A,,,,,
"Exercise - 2(b) Q26. If (2x² - 4x + 3)/(4x - 3) = (2x² - 3x + 5)/(3x - 5), find the value(s) of x.

(A) 0
(B) 2
(C) -2
(D) Both (A) and (C)",D,,,,,
"Exercise - 2(b) Q27. There are 2 two-digit numbers. Their product equals the product of the numbers formed by reversing their digits. Which of the following holds true if the numbers are denoted by ab and cd?

(A) a, b, d and c are in proportion.
(B) a, b, c and d are in proportion.
(C) a, d, c and b are in proportion.
(D) a, c, b, d are in proportion.",A,,,,,
"Exercise - 2(b) Q28. A string is cut into two parts. The ratio of the lengths of the string and the smaller part is six times the ratio of the lengths of the smaller and the larger parts. Find the ratio of the lengths of the larger and smaller parts of the string.

(A) 2:1
(B) 3:1
(C) 4:1
(D) 5:1",B,,,,,
"Exercise - 2(b) Q29. The mean proportional between two numbers is 9. The third proportional of the same numbers is 6561. Find the greater of the numbers.

(No options provided in PDF)",81,,,,,
"Exercise - 2(b) Q30. The ratio of Ahmed's age to Mohammed's age is the same as the ratio of the ages of their respective elder brothers. The ratio of the difference of the ages of Ahmed and Mohammed to that of the difference of the ages of their respective brothers is 1:2. What is the ratio of the sum of the ages of their respective brothers to the sum of the ages of Ahmed and Mohammed?

(A) 2:1
(B) 4:1
(C) 3:1
(D) √2:1",A,,,,,
"Exercise - 2(b) Q31. x is directly proportional to 4 more than the square of y. x is 39 when y is 3. What is the positive value of y when x is 60?

(No options provided in PDF)",4,,,,,
"Exercise - 2(b) Q32. In a three digit number the tens digit is the average of the other two digits. The ratio of the number formed by its first two digits and their sum equals the ratio of the number formed by its last two digits and their sum. How many three digit numbers satisfy these conditions?

(A) 7
(B) 8
(C) 9
(D) 6",C,,,,,
"Exercise - 2(b) Q33. The distance that a body falls through when dropped from a certain height varies directly with the square of the time of fall. A body falls through a total of 500m in 10 seconds. Find the distance it falls through, in the 9th second (in m).

(No options provided in PDF)",85,,,,,
"Exercise - 2(b) Q34. A quantity Q is obtained by adding three quantities. The first is a constant, the second varies directly with the square root of y and the third varies directly with the cube root of y. When y = 1, Q = 60. When y = 64, Q = 230 and when y = 729, Q = 660. Find the constant.

(No options provided in PDF)",30,,,,,
"Exercise - 2(b) Q35. The cost of supply of a commodity equals the sum of three quantities. The first one is a constant, the second varies directly as the price per unit of the commodity and the third varies directly as the square of the price per unit. The costs of supply are 9, 24 and 47 when the prices per unit are 1, 2 and 3 respectively. Find the cost (in ₹) of supply when price per unit of commodity is 4.

(A) 80
(B) 72
(C) 76
(D) 78",D,,,,,
"Exercise - 2(b) Q36. The pressure of a gas varies directly with the temperature when the volume is constant and varies inversely with the volume when temperature is constant. If the present temperature is 100K, what will be the increase in temperature if the pressure triples and the volume doubles? (in K)

(No options provided in PDF)",500,,,,,
"Exercise - 2(b) Q37. Two diaphragms partition a cylinder into three chambers, whose volumes are in the ratio of 1:2:3. Pressure of a gas, which is in joint variation with its mass and volume, is directly proportional to its mass and inversely proportional to its volume. If the masses of the gas in the three chambers are same, find the ratio of the pressures of the gases in the three chambers taking them in the same order as the volumes have been taken.

(A) 3:2:1
(B) 1:2:3
(C) 6:3:2
(D) 1:1:1",C,,,,,
"Exercise - 2(b) Q38. The heat radiated by a certain body per unit time varies directly with the square root of the excess of the temperature of the body over the ambient temperature which is 20°C. The heat radiated by the body in one second is 16 joules when the temperature of the body is 36°C. Find the temperature of the body when the heat radiated in one second is 20 joules.

(A) 56°C
(B) 45°C
(C) 50°C
(D) 60°C",B,,,,,
"Exercise - 2(b) Q39. In a colony, the expenses for yoga classes are partly constant and partly vary directly with the number of members. If there are 50 members, each member has to bear 110 per month. If there are 30 more members, each member has to bear 80 per month. How many members are there if the share of each member is 130 per month?

(No options provided in PDF)",40,,,,,
"Exercise - 2(b) Q40. The telephone bill consists of a fixed monthly rent and a variable part that varies with the number of units of calls made per month. The monthly rents charged for a telephone connection in Bangalore and Patna are in the ratio 5:3. The bill amounts corresponding to 100 calls made from a phone in Patna and 300 calls made from a phone in Bangalore are respectively 500 and 1100. What is the difference in the fixed monthly rent of a telephone connection in Bangalore and one in Patna, if call rate per unit is same in both cities?

(A) 200
(B) 100
(C) 500
(D) 300",A,,,,,
"Exercise - 2(b) Q41. A bowl contains ₹1, 50 paise and 25 paise coins. What is the total amount in the bowl?

I. The total number of coins in the bowl is 20.
II. The total value of ₹1 coins is 6 and the number of 50 paise coins and 25 paise coins are in the ratio 6:1.

Mark (A) if the question can be answered using one of the statements alone, but cannot be answered using the other statement alone.
Mark (B) if the question can be answered using either statement alone.
Mark (C) if the question can be answered using I and II together but not using I or II alone.
Mark (D) if the question cannot be answered even using I and II together.",C,,,,,
"Exercise - 2(b) Q42. The ratio of technical staff and non-technical staff in a company is 3:10. What percentage of the staff are graduates?

I. 80% of the technical staff and 40% of the non-technical staff are graduates.
II. The ratio of the number of graduates to the total staff in the company is 32:65.

Mark (A) if the question can be answered using one of the statements alone, but cannot be answered using the other statement alone.
Mark (B) if the question can be answered using either statement alone.
Mark (C) if the question can be answered using I and II together but not using I or II alone.
Mark (D) if the question cannot be answered even using I and II together.",B,,,,,
"Exercise - 2(b) Q43. How many girls are there in the class?

I. The ratio of the number of boys to girls is 5:4.
II. If four boys leave the class, the ratio of number of boys to girls in the class will be 1:1.

Mark (A) if the question can be answered using one of the statements alone, but cannot be answered using the other statement alone.
Mark (B) if the question can be answered using either statement alone.
Mark (C) if the question can be answered using I and II together but not using I or II alone.
Mark (D) if the question cannot be answered even using I and II together.",C,,,,,
"Exercise - 2(b) Q44. What is the percentage of students who are not intelligent?

I. The ratio of number of boys and girls is 3:2.
II. 20% of the boys and 20% of the girls are intelligent.

Mark (A) if the question can be answered using one of the statements alone, but cannot be answered using the other statement alone.
Mark (B) if the question can be answered using either statement alone.
Mark (C) if the question can be answered using I and II together but not using I or II alone.
Mark (D) if the question cannot be answered even using I and II together.",A,,,,,
"Exercise - 2(b) Q45. If a cake is distributed among two boys A and B and three girls X, Y and Z, who received the largest part?

I. X received one-eighth part of the cake, which is two-thirds of B's share.
II. A received twice B's share, which is equal to thrice the share of Y.

Mark (A) if the question can be answered using one of the statements alone, but cannot be answered using the other statement alone.
Mark (B) if the question can be answered using either statement alone.
Mark (C) if the question can be answered using I and II together but not using I or II alone.
Mark (D) if the question cannot be answered even using I and II together.",C,,,,,
